sep=;
Anlagennummer;Zaehlpunkt;Tarif;Statistikzeitraum Beginn;Statistikzeitraum Ende;Wert;Einheit;Messwert: VAL...gemessen, EST...rechnerisch ermittelt
12345678;AT0080123456789012345678901234567;;01.07.2023 00:00;01.07.2023 00:15;0,012;KWH;VAL
12345678;AT0080123456789012345678901234567;;01.07.2023 00:15;01.07.2023 00:30;0,014;KWH;VAL
12345678;AT0080123456789012345678901234567;;01.07.2023 00:30;01.07.2023 00:45;0,032;KWH;VAL
12345678;AT0080123456789012345678901234567;;01.07.2023 00:45;01.07.2023 01:00;0,018;KWH;VAL
12345678;AT0080123456789012345678901234567;;01.07.2023 01:00;01.07.2023 01:15;0,011;KWH;VAL
12345678;AT0080123456789012345678901234567;;01.07.2023 01:15;01.07.2023 01:30;0,018;KWH;VAL
12345678;AT0080123456789012345678901234567;;01.07.2023 01:30;01.07.2023 01:45;0,032;KWH;VAL
12345678;AT0080123456789012345678901234567;;01.07.2023 01:45;01.07.2023 02:00;0,011;KWH;VAL
12345678;AT0080123456789012345678901234567;;01.07.2023 02:00;01.07.2023 02:15;0,012;KWH;VAL
12345678;AT0080123456789012345678901234567;;01.07.2023 02:15;01.07.2023 02:30;0,026;KWH;VAL
12345678;AT0080123456789012345678901234567;;01.07.2023 02:30;01.07.2023 02:45;0,023;KWH;VAL
12345678;AT0080123456789012345678901234567;;01.07.2023 02:45;01.07.2023 03:00;0,012;KWH;VAL
12345678;AT0080123456789012345678901234567;;01.07.2023 03:00;01.07.2023 03:15;0,013;KWH;VAL
12345678;AT0080123456789012345678901234567;;01.07.2023 03:15;01.07.2023 03:30;0,033;KWH;VAL
12345678;AT0080123456789012345678901234567;;01.07.2023 03:30;01.07.2023 03:45;0,013;KWH;VAL
12345678;AT0080123456789012345678901234567;;01.07.2023 03:45;01.07.2023 04:00;0,011;KWH;VAL
12345678;AT0080123456789012345678901234567;;01.07.2023 04:00;01.07.2023 04:15;0,023;KWH;VAL
12345678;AT0080123456789012345678901234567;;01.07.2023 04:15;01.07.2023 04:30;0,022;KWH;VAL
12345678;AT0080123456789012345678901234567;;01.07.2023 04:30;01.07.2023 04:45;0,01;KWH;VAL
12345678;AT0080123456789012345678901234567;;01.07.2023 04:45;01.07.2023 05:00;0,013;KWH;VAL
12345678;AT0080123456789012345678901234567;;01.07.2023 05:00;01.07.2023 05:15;0,031;KWH;VAL
12345678;AT0080123456789012345678901234567;;01.07.2023 05:15;01.07.2023 05:30;0,01;KWH;VAL
12345678;AT0080123456789012345678901234567;;01.07.2023 05:30;01.07.2023 05:45;0,009;KWH;VAL
12345678;AT0080123456789012345678901234567;;01.07.2023 05:45;01.07.2023 06:00;0,019;KWH;VAL
12345678;AT0080123456789012345678901234567;;01.07.2023 06:00;01.07.2023 06:15;0,024;KWH;VAL
12345678;AT0080123456789012345678901234567;;01.07.2023 06:15;01.07.2023 06:30;0,012;KWH;VAL
12345678;AT0080123456789012345678901234567;;01.07.2023 06:30;01.07.2023 06:45;0,015;KWH;VAL
12345678;AT0080123456789012345678901234567;;01.07.2023 06:45;01.07.2023 07:00;0,032;KWH;VAL
12345678;AT0080123456789012345678901234567;;01.07.2023 07:00;01.07.2023 07:15;0,008;KWH;VAL
12345678;AT0080123456789012345678901234567;;01.07.2023 07:15;01.07.2023 07:30;0,009;KWH;VAL
12345678;AT0080123456789012345678901234567;;01.07.2023 07:30;01.07.2023 07:45;0,031;KWH;VAL
12345678;AT0080123456789012345678901234567;;01.07.2023 07:45;01.07.2023 08:00;0,11;KWH;VAL
12345678;AT0080123456789012345678901234567;;01.07.2023 08:00;01.07.2023 08:15;0,209;KWH;VAL
12345678;AT0080123456789012345678901234567;;01.07.2023 08:15;01.07.2023 08:30;0,029;KWH;VAL
12345678;AT0080123456789012345678901234567;;01.07.2023 08:30;01.07.2023 08:45;0,041;KWH;VAL
12345678;AT0080123456789012345678901234567;;01.07.2023 08:45;01.07.2023 09:00;0,04;KWH;VAL
12345678;AT0080123456789012345678901234567;;01.07.2023 09:00;01.07.2023 09:15;0,023;KWH;VAL
12345678;AT0080123456789012345678901234567;;01.07.2023 09:15;01.07.2023 09:30;0,041;KWH;VAL
12345678;AT0080123456789012345678901234567;;01.07.2023 09:30;01.07.2023 09:45;0,044;KWH;VAL
12345678;AT0080123456789012345678901234567;;01.07.2023 09:45;01.07.2023 10:00;0,018;KWH;VAL
12345678;AT0080123456789012345678901234567;;01.07.2023 10:00;01.07.2023 10:15;0,032;KWH;VAL
12345678;AT0080123456789012345678901234567;;01.07.2023 10:15;01.07.2023 10:30;0,03;KWH;VAL
12345678;AT0080123456789012345678901234567;;01.07.2023 10:30;01.07.2023 10:45;0,021;KWH;VAL
12345678;AT0080123456789012345678901234567;;01.07.2023 10:45;01.07.2023 11:00;0,03;KWH;VAL
12345678;AT0080123456789012345678901234567;;01.07.2023 11:00;01.07.2023 11:15;0,038;KWH;VAL
12345678;AT0080123456789012345678901234567;;01.07.2023 11:15;01.07.2023 11:30;0,019;KWH;VAL
12345678;AT0080123456789012345678901234567;;01.07.2023 11:30;01.07.2023 11:45;0,02;KWH;VAL
12345678;AT0080123456789012345678901234567;;01.07.2023 11:45;01.07.2023 12:00;0,039;KWH;VAL
12345678;AT0080123456789012345678901234567;;01.07.2023 12:00;01.07.2023 12:15;0,02;KWH;VAL
12345678;AT0080123456789012345678901234567;;01.07.2023 12:15;01.07.2023 12:30;0,018;KWH;VAL
12345678;AT0080123456789012345678901234567;;01.07.2023 12:30;01.07.2023 12:45;0,034;KWH;VAL
12345678;AT0080123456789012345678901234567;;01.07.2023 12:45;01.07.2023 13:00;0,026;KWH;VAL
12345678;AT0080123456789012345678901234567;;01.07.2023 13:00;01.07.2023 13:15;0,017;KWH;VAL
12345678;AT0080123456789012345678901234567;;01.07.2023 13:15;01.07.2023 13:30;0,021;KWH;VAL
12345678;AT0080123456789012345678901234567;;01.07.2023 13:30;01.07.2023 13:45;0,051;KWH;VAL
12345678;AT0080123456789012345678901234567;;01.07.2023 13:45;01.07.2023 14:00;0,018;KWH;VAL
12345678;AT0080123456789012345678901234567;;01.07.2023 14:00;01.07.2023 14:15;0,019;KWH;VAL
12345678;AT0080123456789012345678901234567;;01.07.2023 14:15;01.07.2023 14:30;0,04;KWH;VAL
