Anlagennummer;Zählpunkt;Tarif;Statistikzeitraum Beginn;Statistikzeitraum Ende;Wert;Einheit;Messwert: VAL...gemessen, EST...rechnerisch ermittelt
00000000;AT0000000000000000000000000000000;;26.04.2024 00:00;26.04.2024 00:15;0,072;KWH;VAL
00000000;AT0000000000000000000000000000000;;26.04.2024 00:15;26.04.2024 00:30;0,061;KWH;VAL
00000000;AT0000000000000000000000000000000;;26.04.2024 00:30;26.04.2024 00:45;0,066;KWH;VAL
00000000;AT0000000000000000000000000000000;;26.04.2024 00:45;26.04.2024 01:00;0,073;KWH;VAL
00000000;AT0000000000000000000000000000000;;26.04.2024 01:00;26.04.2024 01:15;0,072;KWH;VAL
00000000;AT0000000000000000000000000000000;;26.04.2024 01:15;26.04.2024 01:30;0,062;KWH;VAL
00000000;AT0000000000000000000000000000000;;26.04.2024 01:30;26.04.2024 01:45;0,058;KWH;VAL
00000000;AT0000000000000000000000000000000;;26.04.2024 01:45;26.04.2024 02:00;0,07;KWH;VAL
00000000;AT0000000000000000000000000000000;;26.04.2024 02:00;26.04.2024 02:15;0,061;KWH;VAL
00000000;AT0000000000000000000000000000000;;26.04.2024 02:15;26.04.2024 02:30;0,064;KWH;VAL
00000000;AT0000000000000000000000000000000;;26.04.2024 02:30;26.04.2024 02:45;0,069;KWH;VAL
00000000;AT0000000000000000000000000000000;;26.04.2024 02:45;26.04.2024 03:00;0,069;KWH;VAL
00000000;AT0000000000000000000000000000000;;26.04.2024 03:00;26.04.2024 03:15;0,061;KWH;VAL
00000000;AT0000000000000000000000000000000;;26.04.2024 03:15;26.04.2024 03:30;0,065;KWH;VAL
00000000;AT0000000000000000000000000000000;;26.04.2024 03:30;26.04.2024 03:45;0,066;KWH;VAL
00000000;AT0000000000000000000000000000000;;26.04.2024 03:45;26.04.2024 04:00;0,062;KWH;VAL
00000000;AT0000000000000000000000000000000;;26.04.2024 04:00;26.04.2024 04:15;0,071;KWH;VAL
00000000;AT0000000000000000000000000000000;;26.04.2024 04:15;26.04.2024 04:30;0,065;KWH;VAL
00000000;AT0000000000000000000000000000000;;26.04.2024 04:30;26.04.2024 04:45;0,058;KWH;VAL
00000000;AT0000000000000000000000000000000;;26.04.2024 04:45;26.04.2024 05:00;0,06;KWH;VAL
00000000;AT0000000000000000000000000000000;;26.04.2024 05:00;26.04.2024 05:15;0,066;KWH;VAL
00000000;AT0000000000000000000000000000000;;26.04.2024 05:15;26.04.2024 05:30;0,055;KWH;VAL
00000000;AT0000000000000000000000000000000;;26.04.2024 05:30;26.04.2024 05:45;0,064;KWH;VAL
00000000;AT0000000000000000000000000000000;;26.04.2024 05:45;26.04.2024 06:00;0,065;KWH;VAL
00000000;AT0000000000000000000000000000000;;26.04.2024 06:00;26.04.2024 06:15;0,033;KWH;VAL
00000000;AT0000000000000000000000000000000;;26.04.2024 06:15;26.04.2024 06:30;0,001;KWH;VAL
00000000;AT0000000000000000000000000000000;;26.04.2024 06:30;26.04.2024 06:45;0;KWH;VAL
00000000;AT0000000000000000000000000000000;;26.04.2024 06:45;26.04.2024 07:00;0;KWH;VAL
