"Datum","AT0051000602000000000000000000000 ab 21.02.2024 00:30"
"01.03.2024 00:00","0.015"
"21.02.2024 00:30","0.019"
"21.02.2024 00:45","0.025"
"21.02.2024 01:00","0.039"
"21.02.2024 01:15","0.037"
"21.02.2024 01:30","0.03"
"21.02.2024 01:45","0.033"
"21.02.2024 02:00","0.033"
"21.02.2024 02:15","0.014"
"21.02.2024 02:30","0.012"
"21.02.2024 02:45","0.016"
"21.02.2024 03:00","0.016"
"21.02.2024 03:15","0.008"
"21.02.2024 03:30","0.018"
"21.02.2024 03:45","0.017"
"21.02.2024 04:00","0.018"
"21.02.2024 04:15","0.039"
"21.02.2024 04:30","0.036"
"21.02.2024 04:45","0.026"
"21.02.2024 05:00","0.037"
"21.02.2024 05:15","0.033"
"21.02.2024 05:30","0.026"
"21.02.2024 05:45","0.016"
"21.02.2024 06:00","0.008"
"21.02.2024 06:15","0.009"
"21.02.2024 06:30","0.012"
"21.02.2024 06:45","0.007"
"21.02.2024 07:00","0.011"
"21.02.2024 07:15","0.025"
"21.02.2024 07:30","0.082"
"21.02.2024 07:45","0.113"
"21.02.2024 08:00","0.046"
"21.02.2024 08:15","0.028"
"21.02.2024 08:30","0.033"
"21.02.2024 08:45","0.025"
"21.02.2024 09:00","0.025"
"21.02.2024 09:15","0.01"
"21.02.2024 09:30","0.006"
"21.02.2024 09:45","0.012"
"21.02.2024 10:00","0.008"
"21.02.2024 10:15","0.007"
"21.02.2024 10:30","0.013"
"21.02.2024 10:45","0.006"
"21.02.2024 11:00","0.012"
"21.02.2024 11:15","0.033"
"21.02.2024 11:30","0.027"
"21.02.2024 11:45","0.03"
"21.02.2024 12:00","0.028"
"21.02.2024 12:15","0.231"
"21.02.2024 12:30","0.075"
"21.02.2024 12:45","0.018"
"21.02.2024 13:00","0.013"
"21.02.2024 13:15","0.013"
"21.02.2024 13:30","0.014"
"21.02.2024 13:45","0.027"
"21.02.2024 14:00","0.022"
"21.02.2024 14:15","0.011"
"21.02.2024 14:30","0.02"
"21.02.2024 14:45","0.033"
"21.02.2024 15:00","0.033"
"21.02.2024 15:15","0.033"
"21.02.2024 15:30","0.028"
"21.02.2024 15:45","0.033"
"21.02.2024 16:00","0.026"
"21.02.2024 16:15","0.01"
"21.02.2024 16:30","0.016"
"21.02.2024 16:45","0.018"
"21.02.2024 17:00","0.026"
"21.02.2024 17:15","0.023"
"21.02.2024 17:30","0.022"
"21.02.2024 17:45","0.061"
"21.02.2024 18:00","0.048"
"21.02.2024 18:15","0.096"
"21.02.2024 18:30","0.05"
"21.02.2024 18:45","0.053"
"21.02.2024 19:00","0.075"
"21.02.2024 19:15","0.07"
"21.02.2024 19:30","0.048"
"21.02.2024 19:45","0.043"
"21.02.2024 20:00","0.092"
"21.02.2024 20:15","0.076"
"21.02.2024 20:30","0.077"
"21.02.2024 20:45","0.078"
"21.02.2024 21:00","0.061"
"21.02.2024 21:15","0.047"
"21.02.2024 21:30","0.071"
"21.02.2024 21:45","0.069"
"21.02.2024 22:00","0.074"
"21.02.2024 22:15","0.063"
"21.02.2024 22:30","0.068"
"21.02.2024 22:45","0.052"
"21.02.2024 23:00","0.046"
"21.02.2024 23:15","0.03"
"21.02.2024 23:30","0.019"
"21.02.2024 23:45","0.022"
"22.02.2024 00:00","0.014"
"22.02.2024 00:15","0.019"
"22.02.2024 00:30","0.022"
"22.02.2024 00:45","0.025"
"22.02.2024 01:00","0.034"
"22.02.2024 01:15","0.043"
"22.02.2024 01:30","0.027"
"22.02.2024 01:45","0.032"
"22.02.2024 02:00","0.037"
"22.02.2024 02:15","0.008"
"22.02.2024 02:30","0.016"
"22.02.2024 02:45","0.017"
"22.02.2024 03:00","0.007"
"22.02.2024 03:15","0.017"
"22.02.2024 03:30","0.018"
"22.02.2024 03:45","0.009"
"22.02.2024 04:00","0.03"
"22.02.2024 04:15","0.036"
"22.02.2024 04:30","0.031"
"22.02.2024 04:45","0.032"
"22.02.2024 05:00","0.037"
"22.02.2024 05:15","0.033"
"22.02.2024 05:30","0.011"
"22.02.2024 05:45","0.013"
"22.02.2024 06:00","0.012"
"22.02.2024 06:15","0.007"
"22.02.2024 06:30","0.011"
"22.02.2024 06:45","0.01"
"22.02.2024 07:00","0.007"
"22.02.2024 07:15","0.022"
"22.02.2024 07:30","0.053"
"22.02.2024 07:45","0.073"
"22.02.2024 08:00","0.107"
"22.02.2024 08:15","0.042"
"22.02.2024 08:30","0.03"
"22.02.2024 08:45","0.029"
"22.02.2024 09:00","0.009"
"22.02.2024 09:15","0.013"
"22.02.2024 09:30","0.011"
"22.02.2024 09:45","0.009"
"22.02.2024 10:00","0.014"
"22.02.2024 10:15","0.009"
"22.02.2024 10:30","0.011"
"22.02.2024 10:45","0.022"
"22.02.2024 11:00","0.032"
"22.02.2024 11:15","0.033"
"22.02.2024 11:30","0.03"
"22.02.2024 11:45","0.027"
"22.02.2024 12:00","0.213"
"22.02.2024 12:15","0.358"
"22.02.2024 12:30","0.099"
"22.02.2024 12:45","0.032"
"22.02.2024 13:00","0.03"
"22.02.2024 13:15","0.027"
"22.02.2024 13:30","0.061"
"22.02.2024 13:45","0.065"
"22.02.2024 14:00","0.029"
"22.02.2024 14:15","0.039"
"22.02.2024 14:30","0.282"
"22.02.2024 14:45","0.192"
"22.02.2024 15:00","0.053"
"22.02.2024 15:15","0.056"
"22.02.2024 15:30","0.052"
"22.02.2024 15:45","0.039"
"22.02.2024 16:00","0.033"
"22.02.2024 16:15","0.016"
"22.02.2024 16:30","0.01"
"22.02.2024 16:45","0.014"
"22.02.2024 17:00","0.009"
"22.02.2024 17:15","0.011"
"22.02.2024 17:30","0.013"
"22.02.2024 17:45","0.019"
"22.02.2024 18:00","0.051"
"22.02.2024 18:15","0.078"
"22.02.2024 18:30","0.176"
"22.02.2024 18:45","0.059"
"22.02.2024 19:00","0.054"
"22.02.2024 19:15","0.058"
"22.02.2024 19:30","0.054"
"22.02.2024 19:45","0.053"
"22.02.2024 20:00","0.038"
"22.02.2024 20:15","0.071"
"22.02.2024 20:30","0.078"
"22.02.2024 20:45","0.075"
"22.02.2024 21:00","0.077"
"22.02.2024 21:15","0.079"
"22.02.2024 21:30","0.06"
"22.02.2024 21:45","0.074"
"22.02.2024 22:00","0.05"
"22.02.2024 22:15","0.045"
"22.02.2024 22:30","0.072"
"22.02.2024 22:45","0.045"
"22.02.2024 23:00","0.043"
"22.02.2024 23:15","0.014"
"22.02.2024 23:30","0.015"
"22.02.2024 23:45","0.009"
"23.02.2024 00:00","0.012"
"23.02.2024 00:15","0.023"
"23.02.2024 00:30","0.013"
"23.02.2024 00:45","0.015"
"23.02.2024 01:00","0.042"
"23.02.2024 01:15","0.028"
"23.02.2024 01:30","0.033"
"23.02.2024 01:45","0.036"
"23.02.2024 02:00","0.032"
"23.02.2024 02:15","0.023"
"23.02.2024 02:30","0.015"
"23.02.2024 02:45","0.016"
"23.02.2024 03:00","0.011"
"23.02.2024 03:15","0.012"
"23.02.2024 03:30","0.017"
"23.02.2024 03:45","0.009"
"23.02.2024 04:00","0.03"
"23.02.2024 04:15","0.039"
"23.02.2024 04:30","0.027"
"23.02.2024 04:45","0.035"
"23.02.2024 05:00","0.034"
"23.02.2024 05:15","0.026"
"23.02.2024 05:30","0.029"
"23.02.2024 05:45","0.013"
"23.02.2024 06:00","0.007"
"23.02.2024 06:15","0.014"
"23.02.2024 06:30","0.007"
"23.02.2024 06:45","0.009"
"23.02.2024 07:00","0.012"
"23.02.2024 07:15","0.027"
"23.02.2024 07:30","0.094"
"23.02.2024 07:45","0.105"
"23.02.2024 08:00","0.052"
