Kundennummer;XXXXXX
Kundenname;YYYYYYYY
ZP-Nummer;ATXXXXX00XXXX0000XX0XXX0XXXXXXXXX
Beginn;01.01.2020
Ende;29.03.2023
Energierichtung;Netzbezug


Datum;Zeit;kWh;Status
01.03.2020;00:00:00;0,036;Der Wert ist gültig
01.03.2020;00:15:00;0,031;Der Wert ist gültig
01.03.2020;00:30:00;0,202;Der Wert ist gültig
01.03.2020;00:45:00;0,624;Der Wert ist gültig
01.03.2020;01:00:00;0,624;Der Wert ist gültig
01.03.2020;01:15:00;0,653;Der Wert ist gültig
01.03.2020;01:30:00;0,642;Der Wert ist gültig
01.03.2020;01:45:00;0,64;Der Wert ist gültig
01.03.2020;02:00:00;0,643;Der Wert ist gültig
01.03.2020;02:15:00;0,052;Der Wert ist gültig
01.03.2020;02:30:00;0,037;Der Wert ist gültig
01.03.2020;02:45:00;0,044;Der Wert ist gültig
01.03.2020;03:00:00;0,042;Der Wert ist gültig
01.03.2020;03:15:00;0,029;Der Wert ist gültig
01.03.2020;03:30:00;0,034;Der Wert ist gültig
01.03.2020;03:45:00;0,052;Der Wert ist gültig
01.03.2020;04:00:00;0,038;Der Wert ist gültig
01.03.2020;04:15:00;0,041;Der Wert ist gültig
01.03.2020;04:30:00;0,042;Der Wert ist gültig
01.03.2020;04:45:00;0,031;Der Wert ist gültig
01.03.2020;05:00:00;0,031;Der Wert ist gültig
01.03.2020;05:15:00;0,039;Der Wert ist gültig
01.03.2020;05:30:00;0,031;Der Wert ist gültig
01.03.2020;05:45:00;0,038;Der Wert ist gültig
01.03.2020;06:00:00;0,045;Der Wert ist gültig
01.03.2020;06:15:00;0,228;Der Wert ist gültig
01.03.2020;06:30:00;0,61;Der Wert ist gültig
01.03.2020;06:45:00;0,633;Der Wert ist gültig
01.03.2020;07:00:00;0,626;Der Wert ist gültig
01.03.2020;07:15:00;0,63;Der Wert ist gültig
01.03.2020;07:30:00;0,636;Der Wert ist gültig
01.03.2020;07:45:00;0,683;Der Wert ist gültig
01.03.2020;08:00:00;0,654;Der Wert ist gültig
01.03.2020;08:15:00;0,261;Der Wert ist gültig
01.03.2020;08:30:00;0,064;Der Wert ist gültig
01.03.2020;08:45:00;0,058;Der Wert ist gültig
01.03.2020;09:00:00;0,081;Der Wert ist gültig
01.03.2020;09:15:00;0,061;Der Wert ist gültig
01.03.2020;09:30:00;0,057;Der Wert ist gültig
01.03.2020;09:45:00;0,055;Der Wert ist gültig
01.03.2020;10:00:00;0,092;Der Wert ist gültig
01.03.2020;10:15:00;0,059;Der Wert ist gültig
01.03.2020;10:30:00;0,07;Der Wert ist gültig
01.03.2020;10:45:00;0,066;Der Wert ist gültig
01.03.2020;11:00:00;0,053;Der Wert ist gültig
01.03.2020;11:15:00;0,052;Der Wert ist gültig
01.03.2020;11:30:00;0,051;Der Wert ist gültig
01.03.2020;11:45:00;0,059;Der Wert ist gültig
01.03.2020;12:00:00;0,062;Der Wert ist gültig
01.03.2020;12:15:00;0,052;Der Wert ist gültig
01.03.2020;12:30:00;0,035;Der Wert ist gültig
01.03.2020;12:45:00;0,153;Der Wert ist gültig
01.03.2020;13:00:00;0,75;Der Wert ist gültig
01.03.2020;13:15:00;0,037;Der Wert ist gültig
01.03.2020;13:30:00;0,048;Der Wert ist gültig
01.03.2020;13:45:00;0,039;Der Wert ist gültig
01.03.2020;14:00:00;0,03;Der Wert ist gültig
01.03.2020;14:15:00;0,029;Der Wert ist gültig
01.03.2020;14:30:00;0,029;Der Wert ist gültig
01.03.2020;14:45:00;0,04;Der Wert ist gültig
01.03.2020;15:00:00;0,041;Der Wert ist gültig
01.03.2020;15:15:00;0,051;Der Wert ist gültig
01.03.2020;15:30:00;0,054;Der Wert ist gültig
01.03.2020;15:45:00;0,065;Der Wert ist gültig
01.03.2020;16:00:00;0,053;Der Wert ist gültig
01.03.2020;16:15:00;0,052;Der Wert ist gültig
01.03.2020;16:30:00;0,1;Der Wert ist gültig
01.03.2020;16:45:00;0,653;Der Wert ist gültig
01.03.2020;17:00:00;0,649;Der Wert ist gültig
01.03.2020;17:15:00;0,666;Der Wert ist gültig
01.03.2020;17:30:00;0,662;Der Wert ist gültig
01.03.2020;17:45:00;0,665;Der Wert ist gültig
01.03.2020;18:00:00;0,647;Der Wert ist gültig
01.03.2020;18:15:00;0,718;Der Wert ist gültig
01.03.2020;18:30:00;0,272;Der Wert ist gültig
01.03.2020;18:45:00;0,079;Der Wert ist gültig
01.03.2020;19:00:00;0,072;Der Wert ist gültig
01.03.2020;19:15:00;0,088;Der Wert ist gültig
01.03.2020;19:30:00;0,071;Der Wert ist gültig
01.03.2020;19:45:00;0,083;Der Wert ist gültig
01.03.2020;20:00:00;0,079;Der Wert ist gültig
01.03.2020;20:15:00;0,071;Der Wert ist gültig
01.03.2020;20:30:00;0,071;Der Wert ist gültig
01.03.2020;20:45:00;0,092;Der Wert ist gültig
01.03.2020;21:00:00;0,093;Der Wert ist gültig
01.03.2020;21:15:00;0,086;Der Wert ist gültig
01.03.2020;21:30:00;0,085;Der Wert ist gültig
01.03.2020;21:45:00;0,088;Der Wert ist gültig
01.03.2020;22:00:00;0,071;Der Wert ist gültig
01.03.2020;22:15:00;0,077;Der Wert ist gültig
01.03.2020;22:30:00;0,072;Der Wert ist gültig
01.03.2020;22:45:00;0,086;Der Wert ist gültig
01.03.2020;23:00:00;0,088;Der Wert ist gültig
01.03.2020;23:15:00;0,043;Der Wert ist gültig
01.03.2020;23:30:00;0,285;Der Wert ist gültig
01.03.2020;23:45:00;0,632;Der Wert ist gültig
02.03.2020;00:00:00;0,63;Der Wert ist gültig
02.03.2020;00:15:00;0,653;Der Wert ist gültig
02.03.2020;00:30:00;0,611;Der Wert ist gültig
02.03.2020;00:45:00;0,654;Der Wert ist gültig
02.03.2020;01:00:00;0,649;Der Wert ist gültig
02.03.2020;01:15:00;0,235;Der Wert ist gültig
02.03.2020;01:30:00;0,03;Der Wert ist gültig
02.03.2020;01:45:00;0,04;Der Wert ist gültig
02.03.2020;02:00:00;0,046;Der Wert ist gültig
02.03.2020;02:15:00;0,034;Der Wert ist gültig
02.03.2020;02:30:00;0,045;Der Wert ist gültig
02.03.2020;02:45:00;0,031;Der Wert ist gültig
02.03.2020;03:00:00;0,04;Der Wert ist gültig
02.03.2020;03:15:00;0,031;Der Wert ist gültig
02.03.2020;03:30:00;0,052;Der Wert ist gültig
02.03.2020;03:45:00;0,039;Der Wert ist gültig
02.03.2020;04:00:00;0,036;Der Wert ist gültig
02.03.2020;04:15:00;0,031;Der Wert ist gültig
02.03.2020;04:30:00;0,04;Der Wert ist gültig
02.03.2020;04:45:00;0,035;Der Wert ist gültig
02.03.2020;05:00:00;0,04;Der Wert ist gültig
02.03.2020;05:15:00;0,062;Der Wert ist gültig
02.03.2020;05:30:00;0,037;Der Wert ist gültig
02.03.2020;05:45:00;0,592;Der Wert ist gültig
02.03.2020;06:00:00;0,634;Der Wert ist gültig
02.03.2020;06:15:00;0,644;Der Wert ist gültig
02.03.2020;06:30:00;0,641;Der Wert ist gültig
02.03.2020;06:45:00;0,612;Der Wert ist gültig
02.03.2020;07:00:00;0,647;Der Wert ist gültig
02.03.2020;07:15:00;0,644;Der Wert ist gültig
02.03.2020;07:30:00;0,574;Der Wert ist gültig
02.03.2020;07:45:00;0,035;Der Wert ist gültig
02.03.2020;08:00:00;0,063;Der Wert ist gültig
