Kundennummer;1234567
Kundenname;XYZ
ZP-Nummer;AAASDASFSASSFASSSASFFSASA
Beginn;16.11.2023
Ende;16.11.2023
Energierichtung;Netzbezug


Datum;Zeit;kWh;Status
16.11.2023;00:00:00;0,025;Der Wert ist gültig
16.11.2023;00:15:00;0,024;Der Wert ist gültig
16.11.2023;00:30:00;0,015;Der Wert ist gültig
16.11.2023;00:45:00;0,044;Der Wert ist gültig
16.11.2023;01:00:00;0,041;Der Wert ist gültig
16.11.2023;01:15:00;0,02;Der Wert ist gültig
16.11.2023;01:30:00;0,027;Der Wert ist gültig
16.11.2023;01:45:00;0,023;Der Wert ist gültig
16.11.2023;02:00:00;0,015;Der Wert ist gültig
16.11.2023;02:15:00;0,05;Der Wert ist gültig
16.11.2023;02:30:00;0,07;Der Wert ist gültig
16.11.2023;02:45:00;0,024;Der Wert ist gültig
16.11.2023;03:00:00;0,024;Der Wert ist gültig
16.11.2023;03:15:00;0,026;Der Wert ist gültig
16.11.2023;03:30:00;0,015;Der Wert ist gültig
16.11.2023;03:45:00;0,032;Der Wert ist gültig
16.11.2023;04:00:00;0,042;Der Wert ist gültig
16.11.2023;04:15:00;0,03;Der Wert ist gültig
16.11.2023;04:30:00;0,024;Der Wert ist gültig
16.11.2023;04:45:00;0,028;Der Wert ist gültig
16.11.2023;05:00:00;0,08;Der Wert ist gültig
16.11.2023;05:15:00;0,101;Der Wert ist gültig
16.11.2023;05:30:00;0,112;Der Wert ist gültig
16.11.2023;05:45:00;0,119;Der Wert ist gültig
16.11.2023;06:00:00;0,044;Der Wert ist gültig
16.11.2023;06:15:00;0,049;Der Wert ist gültig
16.11.2023;06:30:00;0,036;Der Wert ist gültig
16.11.2023;06:45:00;0,018;Der Wert ist gültig
16.11.2023;07:00:00;0,032;Der Wert ist gültig
16.11.2023;07:15:00;0,042;Der Wert ist gültig
16.11.2023;07:30:00;0,024;Der Wert ist gültig
16.11.2023;07:45:00;0,017;Der Wert ist gültig
16.11.2023;08:00:00;0,011;Der Wert ist gültig
16.11.2023;08:15:00;0,036;Der Wert ist gültig
16.11.2023;08:30:00;0,04;Der Wert ist gültig
16.11.2023;08:45:00;0,01;Der Wert ist gültig
16.11.2023;09:00:00;0,004;Der Wert ist gültig
16.11.2023;09:15:00;0,001;Der Wert ist gültig
16.11.2023;09:30:00;0;Der Wert ist gültig
16.11.2023;09:45:00;0;Der Wert ist gültig
16.11.2023;10:00:00;0,001;Der Wert ist gültig
16.11.2023;10:15:00;0;Der Wert ist gültig
16.11.2023;10:30:00;0;Der Wert ist gültig
16.11.2023;10:45:00;0;Der Wert ist gültig
16.11.2023;11:00:00;0;Der Wert ist gültig
16.11.2023;11:15:00;0,001;Der Wert ist gültig
16.11.2023;11:30:00;0;Der Wert ist gültig
16.11.2023;11:45:00;0,001;Der Wert ist gültig
16.11.2023;12:00:00;0;Der Wert ist gültig
16.11.2023;12:15:00;0,124;Der Wert ist gültig
16.11.2023;12:30:00;0,355;Der Wert ist gültig
16.11.2023;12:45:00;0,343;Der Wert ist gültig
16.11.2023;13:00:00;0,369;Der Wert ist gültig
16.11.2023;13:15:00;0,392;Der Wert ist gültig
16.11.2023;13:30:00;0,389;Der Wert ist gültig
16.11.2023;13:45:00;0,375;Der Wert ist gültig
16.11.2023;14:00:00;0,398;Der Wert ist gültig
16.11.2023;14:15:00;0,398;Der Wert ist gültig
16.11.2023;14:30:00;0,168;Der Wert ist gültig
16.11.2023;14:45:00;0,015;Der Wert ist gültig
16.11.2023;15:00:00;0,033;Der Wert ist gültig
16.11.2023;15:15:00;0,023;Der Wert ist gültig
16.11.2023;15:30:00;0,017;Der Wert ist gültig
16.11.2023;15:45:00;0,049;Der Wert ist gültig
16.11.2023;16:00:00;0,068;Der Wert ist gültig
16.11.2023;16:15:00;0,126;Der Wert ist gültig
16.11.2023;16:30:00;0,07;Der Wert ist gültig
16.11.2023;16:45:00;0,077;Der Wert ist gültig
16.11.2023;17:00:00;0,09;Der Wert ist gültig
16.11.2023;17:15:00;0,219;Der Wert ist gültig
16.11.2023;17:30:00;0,432;Der Wert ist gültig
16.11.2023;17:45:00;0,495;Der Wert ist gültig
16.11.2023;18:00:00;0,285;Der Wert ist gültig
16.11.2023;18:15:00;0,317;Der Wert ist gültig
16.11.2023;18:30:00;0,301;Der Wert ist gültig
16.11.2023;18:45:00;0,117;Der Wert ist gültig
16.11.2023;19:00:00;0,104;Der Wert ist gültig
16.11.2023;19:15:00;0,128;Der Wert ist gültig
16.11.2023;19:30:00;0,07;Der Wert ist gültig
16.11.2023;19:45:00;0,086;Der Wert ist gültig
16.11.2023;20:00:00;0,087;Der Wert ist gültig
16.11.2023;20:15:00;0,087;Der Wert ist gültig
16.11.2023;20:30:00;0,076;Der Wert ist gültig
16.11.2023;20:45:00;0,039;Der Wert ist gültig
16.11.2023;21:00:00;0,034;Der Wert ist gültig
16.11.2023;21:15:00;0,044;Der Wert ist gültig
16.11.2023;21:30:00;0,036;Der Wert ist gültig
16.11.2023;21:45:00;0,015;Der Wert ist gültig
16.11.2023;22:00:00;0,024;Der Wert ist gültig
16.11.2023;22:15:00;0,021;Der Wert ist gültig
16.11.2023;22:30:00;0,032;Der Wert ist gültig
16.11.2023;22:45:00;0,041;Der Wert ist gültig
16.11.2023;23:00:00;0,029;Der Wert ist gültig
16.11.2023;23:15:00;0,045;Der Wert ist gültig
16.11.2023;23:30:00;0,044;Der Wert ist gültig
16.11.2023;23:45:00;0,016;Der Wert ist gültig
