Messzeitpunkt;Gemessener Verbrauch (kWh);Ersatzwert;
01.01.2023 00:15;0,454;;
01.01.2023 00:30;0,215;;
01.01.2023 00:45;0,076;;
01.01.2023 01:00;0,117;;
01.01.2023 01:15;1,549;;
01.01.2023 01:30;1,814;;
01.01.2023 01:45;1,782;;
01.01.2023 02:00;1,824;;
01.01.2023 02:15;1,783;;
01.01.2023 02:30;1,797;;
01.01.2023 02:45;1,801;;
01.01.2023 03:00;1,817;;
01.01.2023 03:15;1,792;;
01.01.2023 03:30;1,845;;
01.01.2023 03:45;1,953;;
01.01.2023 04:00;1,938;;
01.01.2023 04:15;2,395;;
01.01.2023 04:30;2,474;;
01.01.2023 04:45;2,382;;
01.01.2023 05:00;1,961;;
01.01.2023 05:15;1,955;;
01.01.2023 05:30;1,942;;
01.01.2023 05:45;1,924;;
01.01.2023 06:00;1,804;;
01.01.2023 06:15;1,814;;
01.01.2023 06:30;1,832;;
01.01.2023 06:45;1,942;;
01.01.2023 07:00;1,814;;
01.01.2023 07:15;1,813;;
01.01.2023 07:30;1,812;;
01.01.2023 07:45;1,788;;
01.01.2023 08:00;1,771;;
01.01.2023 08:15;1,797;;
01.01.2023 08:30;1,789;;
01.01.2023 08:45;1,747;;
01.01.2023 09:00;1,730;;
01.01.2023 09:15;0,034;;
01.01.2023 09:30;0,025;;
01.01.2023 09:45;0,000;;
01.01.2023 10:00;0,007;;
01.01.2023 10:15;0,009;;
01.01.2023 10:30;0,120;;
01.01.2023 10:45;0,046;;
01.01.2023 11:00;0,000;;
01.01.2023 11:15;0,000;;
01.01.2023 11:30;0,000;;
01.01.2023 11:45;0,000;;
01.01.2023 12:00;0,000;;
01.01.2023 12:15;0,000;;
01.01.2023 12:30;0,024;;
01.01.2023 12:45;0,000;;
01.01.2023 13:00;0,000;;
01.01.2023 13:15;0,000;;
01.01.2023 13:30;0,000;;
01.01.2023 13:45;0,000;;
01.01.2023 14:00;0,135;;
01.01.2023 14:15;0,000;;
01.01.2023 14:30;0,000;;
01.01.2023 14:45;0,000;;
01.01.2023 15:00;0,000;;
01.01.2023 15:15;0,000;;
01.01.2023 15:30;0,000;;
01.01.2023 15:45;0,009;;
01.01.2023 16:00;0,037;;
01.01.2023 16:15;0,354;;
01.01.2023 16:30;0,136;;
01.01.2023 16:45;0,906;;
01.01.2023 17:00;0,370;;
01.01.2023 17:15;0,412;;
01.01.2023 17:30;0,584;;
01.01.2023 17:45;0,652;;
01.01.2023 18:00;0,415;;
01.01.2023 18:15;0,247;;
01.01.2023 18:30;0,270;;
01.01.2023 18:45;0,606;;
01.01.2023 19:00;0,280;;
01.01.2023 19:15;0,149;;
01.01.2023 19:30;0,135;;
01.01.2023 19:45;0,128;;
01.01.2023 20:00;0,184;;
01.01.2023 20:15;0,186;;
01.01.2023 20:30;0,217;;
01.01.2023 20:45;0,886;;
01.01.2023 21:00;1,018;;
01.01.2023 21:15;1,027;;
01.01.2023 21:30;1,037;;
01.01.2023 21:45;1,028;;
01.01.2023 22:00;1,091;;
01.01.2023 22:15;1,173;;
01.01.2023 22:30;1,096;;
01.01.2023 22:45;0,996;;
01.01.2023 23:00;1,026;;
01.01.2023 23:15;0,956;;
01.01.2023 23:30;0,879;;
01.01.2023 23:45;0,882;;
02.01.2023 00:00;0,858;;
02.01.2023 00:15;0,126;;
02.01.2023 00:30;0,092;;
02.01.2023 00:45;0,139;;
02.01.2023 01:00;0,086;;
02.01.2023 01:15;0,093;;
02.01.2023 01:30;0,090;;
02.01.2023 01:45;0,112;;
02.01.2023 02:00;0,066;;
02.01.2023 02:15;0,778;;
02.01.2023 02:30;0,868;;
02.01.2023 02:45;0,876;;
02.01.2023 03:00;0,852;;
02.01.2023 03:15;0,849;;
02.01.2023 03:30;0,857;;
02.01.2023 03:45;0,842;;
02.01.2023 04:00;0,858;;
02.01.2023 04:15;0,878;;
02.01.2023 04:30;0,871;;
02.01.2023 04:45;0,843;;
02.01.2023 05:00;0,840;;
02.01.2023 05:15;0,141;;
02.01.2023 05:30;0,080;;
02.01.2023 05:45;0,066;;
02.01.2023 06:00;0,096;;
02.01.2023 06:15;0,108;;
02.01.2023 06:30;0,094;;
02.01.2023 06:45;0,060;;
02.01.2023 07:00;0,091;;
02.01.2023 07:15;0,074;;
02.01.2023 07:30;0,098;;
02.01.2023 07:45;0,160;;
02.01.2023 08:00;0,159;;
02.01.2023 08:15;0,163;;
02.01.2023 08:30;0,327;;
02.01.2023 08:45;0,305;;
02.01.2023 09:00;0,062;;
02.01.2023 09:15;0,049;;
02.01.2023 09:30;0,034;;
02.01.2023 09:45;0,056;;
02.01.2023 10:00;0,007;;
