Messzeitpunkt;Verbrauch (kWh);Qualität;
01.01.2024 00:15;0,938000;G;
01.01.2024 00:30;1,788000;G;
01.01.2024 00:45;1,313000;G;
01.01.2024 01:00;1,120000;G;
01.01.2024 01:15;1,386000;G;
01.01.2024 01:30;1,350000;G;
01.01.2024 01:45;1,128000;G;
01.01.2024 02:00;1,084000;G;
01.01.2024 02:15;1,088000;G;
01.01.2024 02:30;1,464000;G;
01.01.2024 02:45;1,121000;G;
01.01.2024 03:00;1,081000;G;
01.01.2024 03:15;1,072000;G;
01.01.2024 03:30;1,053000;G;
01.01.2024 03:45;1,058000;G;
01.01.2024 04:00;1,048000;G;
01.01.2024 04:15;1,239000;G;
01.01.2024 04:30;1,313000;G;
01.01.2024 04:45;1,245000;G;
01.01.2024 05:00;1,074000;G;
01.01.2024 05:15;1,273000;G;
01.01.2024 05:30;1,310000;G;
01.01.2024 05:45;1,231000;G;
01.01.2024 06:00;1,111000;G;
01.01.2024 06:15;1,075000;G;
01.01.2024 06:30;1,061000;G;
01.01.2024 06:45;1,068000;G;
01.01.2024 07:00;1,071000;G;
01.01.2024 07:15;1,066000;G;
01.01.2024 07:30;1,063000;G;
01.01.2024 07:45;1,053000;G;
01.01.2024 08:00;1,050000;G;
01.01.2024 08:15;1,066000;G;
01.01.2024 08:30;1,087000;G;
01.01.2024 08:45;0,375000;G;
01.01.2024 09:00;0,157000;G;
01.01.2024 09:15;0,157000;G;
01.01.2024 09:30;0,475000;G;
01.01.2024 09:45;0,854000;G;
01.01.2024 10:00;0,585000;G;
01.01.2024 10:15;0,180000;G;
01.01.2024 10:30;0,054000;G;
01.01.2024 10:45;0,041000;G;
01.01.2024 11:00;0,390000;G;
01.01.2024 11:15;0,459000;G;
01.01.2024 11:30;0,185000;G;
01.01.2024 11:45;0,342000;G;
01.01.2024 12:00;0,107000;G;
01.01.2024 12:15;0,230000;G;
01.01.2024 12:30;0,016000;G;
01.01.2024 12:45;0,093000;G;
01.01.2024 13:00;0,326000;G;
01.01.2024 13:15;0,624000;G;
01.01.2024 13:30;1,310000;G;
01.01.2024 13:45;1,041000;G;
01.01.2024 14:00;1,286000;G;
01.01.2024 14:15;0,655000;G;
01.01.2024 14:30;0,341000;G;
01.01.2024 14:45;0,371000;G;
01.01.2024 15:00;0,435000;G;
01.01.2024 15:15;0,271000;G;
01.01.2024 15:30;0,081000;G;
01.01.2024 15:45;0,711000;G;
01.01.2024 16:00;0,807000;G;
01.01.2024 16:15;0,345000;G;
01.01.2024 16:30;0,351000;G;
01.01.2024 16:45;0,415000;G;
01.01.2024 17:00;0,320000;G;
01.01.2024 17:15;0,355000;G;
01.01.2024 17:30;0,631000;G;
01.01.2024 17:45;0,637000;G;
01.01.2024 18:00;0,521000;G;
01.01.2024 18:15;0,532000;G;
01.01.2024 18:30;0,748000;G;
01.01.2024 18:45;0,427000;G;
01.01.2024 19:00;0,342000;G;
01.01.2024 19:15;0,287000;G;
01.01.2024 19:30;0,292000;G;
01.01.2024 19:45;0,494000;G;
01.01.2024 20:00;0,318000;G;
01.01.2024 20:15;0,412000;G;
01.01.2024 20:30;0,547000;G;
01.01.2024 20:45;0,377000;G;
01.01.2024 21:00;0,458000;G;
01.01.2024 21:15;0,354000;G;
01.01.2024 21:30;0,326000;G;
01.01.2024 21:45;0,354000;G;
01.01.2024 22:00;0,361000;G;
01.01.2024 22:15;0,286000;G;
01.01.2024 22:30;0,291000;G;
01.01.2024 22:45;0,312000;G;
01.01.2024 23:00;0,293000;G;
01.01.2024 23:15;0,336000;G;
01.01.2024 23:30;0,369000;G;
01.01.2024 23:45;0,318000;G;
02.01.2024 00:00;0,322000;G;
02.01.2024 00:15;0,348000;G;
02.01.2024 00:30;0,317000;G;
02.01.2024 00:45;0,307000;G;
02.01.2024 01:00;0,330000;G;
02.01.2024 01:15;0,305000;G;
02.01.2024 01:30;0,300000;G;
02.01.2024 01:45;0,391000;G;
02.01.2024 02:00;0,837000;G;
02.01.2024 02:15;0,801000;G;
02.01.2024 02:30;0,621000;G;
02.01.2024 02:45;0,346000;G;
02.01.2024 03:00;0,329000;G;
02.01.2024 03:15;0,584000;G;
02.01.2024 03:30;0,372000;G;
02.01.2024 03:45;0,329000;G;
02.01.2024 04:00;0,341000;G;
02.01.2024 04:15;0,558000;G;
02.01.2024 04:30;0,568000;G;
02.01.2024 04:45;0,493000;G;
02.01.2024 05:00;0,429000;G;
02.01.2024 05:15;0,821000;G;
02.01.2024 05:30;0,353000;G;
02.01.2024 05:45;0,335000;G;
02.01.2024 06:00;0,332000;G;
02.01.2024 06:15;0,272000;G;
02.01.2024 06:30;0,276000;G;
02.01.2024 06:45;0,303000;G;
02.01.2024 07:00;0,279000;G;
02.01.2024 07:15;0,282000;G;
02.01.2024 07:30;0,304000;G;
02.01.2024 07:45;0,258000;G;
02.01.2024 08:00;0,270000;G;
02.01.2024 08:15;0,385000;G;
02.01.2024 08:30;0,264000;G;
02.01.2024 08:45;0,174000;G;
02.01.2024 09:00;0,151000;G;
02.01.2024 09:15;0,373000;G;
02.01.2024 09:30;0,165000;G;
02.01.2024 09:45;0,440000;G;
02.01.2024 10:00;0,034000;G;
02.01.2024 10:15;0,000000;G;
02.01.2024 10:30;0,027000;G;
02.01.2024 10:45;0,000000;G;
02.01.2024 11:00;0,024000;G;
02.01.2024 11:15;0,007000;G;
02.01.2024 11:30;0,049000;G;
02.01.2024 11:45;0,034000;G;
02.01.2024 12:00;0,198000;G;
02.01.2024 12:15;0,326000;G;
02.01.2024 12:30;0,279000;G;
02.01.2024 12:45;0,301000;G;
02.01.2024 13:00;0,414000;G;
02.01.2024 13:15;0,356000;G;
02.01.2024 13:30;0,196000;G;
02.01.2024 13:45;0,245000;G;
02.01.2024 14:00;0,184000;G;
02.01.2024 14:15;0,047000;G;
02.01.2024 14:30;0,086000;G;
02.01.2024 14:45;0,115000;G;
02.01.2024 15:00;0,144000;G;
02.01.2024 15:15;0,177000;G;
02.01.2024 15:30;0,249000;G;
02.01.2024 15:45;0,257000;G;
02.01.2024 16:00;0,213000;G;
02.01.2024 16:15;0,213000;G;
02.01.2024 16:30;0,223000;G;
02.01.2024 16:45;0,238000;G;
02.01.2024 17:00;0,226000;G;
02.01.2024 17:15;0,218000;G;
02.01.2024 17:30;0,236000;G;
02.01.2024 17:45;0,386000;G;
02.01.2024 18:00;0,261000;G;
02.01.2024 18:15;0,253000;G;
02.01.2024 18:30;0,236000;G;
02.01.2024 18:45;0,211000;G;
02.01.2024 19:00;0,205000;G;
02.01.2024 19:15;0,241000;G;
02.01.2024 19:30;0,243000;G;
02.01.2024 19:45;0,263000;G;
02.01.2024 20:00;0,250000;G;
02.01.2024 20:15;0,235000;G;
02.01.2024 20:30;0,226000;G;
02.01.2024 20:45;0,229000;G;
02.01.2024 21:00;0,252000;G;
02.01.2024 21:15;0,250000;G;
02.01.2024 21:30;0,236000;G;
02.01.2024 21:45;0,251000;G;
02.01.2024 22:00;0,242000;G;
02.01.2024 22:15;0,247000;G;
02.01.2024 22:30;0,268000;G;
02.01.2024 22:45;0,245000;G;
02.01.2024 23:00;0,235000;G;
02.01.2024 23:15;0,286000;G;
02.01.2024 23:30;0,296000;G;
02.01.2024 23:45;0,290000;G;
03.01.2024 00:00;0,308000;G;
03.01.2024 00:15;0,262000;G;
03.01.2024 00:30;0,208000;G;
03.01.2024 00:45;0,329000;G;
03.01.2024 01:00;0,382000;G;
03.01.2024 01:15;0,377000;G;
03.01.2024 01:30;0,394000;G;
03.01.2024 01:45;0,664000;G;
03.01.2024 02:00;0,383000;G;
03.01.2024 02:15;0,412000;G;
03.01.2024 02:30;0,419000;G;
03.01.2024 02:45;0,379000;G;
03.01.2024 03:00;0,374000;G;
03.01.2024 03:15;0,528000;G;
03.01.2024 03:30;0,616000;G;
03.01.2024 03:45;0,766000;G;
03.01.2024 04:00;0,350000;G;
03.01.2024 04:15;0,251000;G;
03.01.2024 04:30;0,227000;G;
03.01.2024 04:45;0,265000;G;
03.01.2024 05:00;0,255000;G;
03.01.2024 05:15;0,242000;G;
03.01.2024 05:30;0,262000;G;
03.01.2024 05:45;0,252000;G;
03.01.2024 06:00;0,226000;G;
03.01.2024 06:15;0,231000;G;
03.01.2024 06:30;0,242000;G;
03.01.2024 06:45;0,215000;G;
03.01.2024 07:00;0,214000;G;
03.01.2024 07:15;0,231000;G;
03.01.2024 07:30;0,288000;G;
03.01.2024 07:45;0,264000;G;
03.01.2024 08:00;0,333000;G;
03.01.2024 08:15;0,304000;G;
03.01.2024 08:30;0,201000;G;
03.01.2024 08:45;0,124000;G;
03.01.2024 09:00;0,371000;G;
03.01.2024 09:15;0,138000;G;
03.01.2024 09:30;0,184000;G;
03.01.2024 09:45;0,066000;G;
03.01.2024 10:00;0,016000;G;
03.01.2024 10:15;0,071000;G;
03.01.2024 10:30;0,147000;G;
03.01.2024 10:45;0,316000;G;
03.01.2024 11:00;0,149000;G;
03.01.2024 11:15;0,368000;G;
03.01.2024 11:30;0,690000;G;
03.01.2024 11:45;0,211000;G;
03.01.2024 12:00;0,058000;G;
03.01.2024 12:15;0,113000;G;
03.01.2024 12:30;0,000000;G;
03.01.2024 12:45;0,000000;G;
03.01.2024 13:00;0,010000;G;
03.01.2024 13:15;0,127000;G;
03.01.2024 13:30;0,000000;G;
03.01.2024 13:45;0,020000;G;
03.01.2024 14:00;0,088000;G;
03.01.2024 14:15;0,026000;G;
03.01.2024 14:30;0,016000;G;
03.01.2024 14:45;0,131000;G;
03.01.2024 15:00;0,474000;G;
03.01.2024 15:15;0,243000;G;
03.01.2024 15:30;0,180000;G;
03.01.2024 15:45;0,067000;G;
03.01.2024 16:00;0,109000;G;
03.01.2024 16:15;0,192000;G;
03.01.2024 16:30;0,225000;G;
03.01.2024 16:45;0,225000;G;
03.01.2024 17:00;0,206000;G;
03.01.2024 17:15;0,242000;G;
03.01.2024 17:30;0,209000;G;
03.01.2024 17:45;0,209000;G;
03.01.2024 18:00;0,214000;G;
03.01.2024 18:15;0,201000;G;
03.01.2024 18:30;0,208000;G;
03.01.2024 18:45;0,319000;G;
03.01.2024 19:00;0,240000;G;
03.01.2024 19:15;0,220000;G;
03.01.2024 19:30;0,253000;G;
03.01.2024 19:45;0,235000;G;
03.01.2024 20:00;0,232000;G;
03.01.2024 20:15;0,343000;G;
03.01.2024 20:30;0,279000;G;
03.01.2024 20:45;0,241000;G;
03.01.2024 21:00;0,261000;G;
03.01.2024 21:15;0,239000;G;
03.01.2024 21:30;0,228000;G;
03.01.2024 21:45;0,248000;G;
03.01.2024 22:00;0,242000;G;
03.01.2024 22:15;0,225000;G;
