Messzeitpunkt;Verbrauch (kWh);Restnetzbezug (kWh);Eigendeckung (kWh);Ideeller Anteil (kWh);Eigendeckung erneuerb. Energie (kWh);
01.01.2024 00:15;0,461000;0,461000;0,000000;0,000000;;
01.01.2024 00:30;0,383000;0,383000;0,000000;0,000000;;
01.01.2024 00:45;0,387000;0,387000;0,000000;0,000000;;
01.01.2024 01:00;0,379000;0,379000;0,000000;0,000000;;
01.01.2024 01:15;0,395000;0,395000;0,000000;0,000000;;
01.01.2024 01:30;0,480000;0,480000;0,000000;0,000000;;
01.01.2024 01:45;0,482000;0,482000;0,000000;0,000000;;
01.01.2024 02:00;0,510000;0,510000;0,000000;0,000000;;
01.01.2024 02:15;0,429000;0,429000;0,000000;0,000000;;
01.01.2024 02:30;0,353000;0,353000;0,000000;0,000000;;
01.01.2024 02:45;0,370000;0,370000;0,000000;0,000000;;
01.01.2024 03:00;0,393000;0,393000;0,000000;0,000000;;
01.01.2024 03:15;0,491000;0,491000;0,000000;0,000000;;
01.01.2024 03:30;0,501000;0,501000;0,000000;0,000000;;
01.01.2024 03:45;0,470000;0,470000;0,000000;0,000000;;
01.01.2024 04:00;0,446000;0,446000;0,000000;0,000000;;
01.01.2024 04:15;0,365000;0,365000;0,000000;0,000000;;
01.01.2024 04:30;0,371000;0,371000;0,000000;0,000000;;
01.01.2024 04:45;0,371000;0,371000;0,000000;0,000000;;
01.01.2024 05:00;0,504000;0,504000;0,000000;0,000000;;
01.01.2024 05:15;0,485000;0,485000;0,000000;0,000000;;
01.01.2024 05:30;0,482000;0,482000;0,000000;0,000000;;
01.01.2024 05:45;0,429000;0,429000;0,000000;0,000000;;
01.01.2024 06:00;0,373000;0,373000;0,000000;0,000000;;
01.01.2024 06:15;0,389000;0,389000;0,000000;0,000000;;
01.01.2024 06:30;0,370000;0,370000;0,000000;0,000000;;
01.01.2024 06:45;0,452000;0,452000;0,000000;0,000000;;
01.01.2024 07:00;0,500000;0,500000;0,000000;0,000000;;
01.01.2024 07:15;0,483000;0,483000;0,000000;0,000000;;
01.01.2024 07:30;0,450000;0,450000;0,000000;0,000000;;
01.01.2024 07:45;0,487000;0,486907;0,000093;0,000093;;
01.01.2024 08:00;0,479000;0,479000;0,000000;0,000000;;
01.01.2024 08:15;0,473000;0,472909;0,000091;0,000091;;
