Messzeitpunkt;Verbrauch (kWh);
01.01.2024 00:15;0,310000;
01.01.2024 00:30;0,270000;
01.01.2024 00:45;0,273000;
01.01.2024 01:00;0,301000;
01.01.2024 01:15;0,296000;
01.01.2024 01:30;0,289000;
01.01.2024 01:45;0,290000;
01.01.2024 02:00;0,283000;
01.01.2024 02:15;0,281000;
01.01.2024 02:30;0,285000;
01.01.2024 02:45;0,285000;
01.01.2024 03:00;0,281000;
01.01.2024 03:15;0,280000;
01.01.2024 03:30;0,267000;
01.01.2024 03:45;0,264000;
01.01.2024 04:00;0,242000;
01.01.2024 04:15;0,253000;
01.01.2024 04:30;0,261000;
01.01.2024 04:45;0,246000;
01.01.2024 05:00;0,276000;
01.01.2024 05:15;0,271000;
01.01.2024 05:30;0,266000;
01.01.2024 05:45;0,267000;
01.01.2024 06:00;0,265000;
01.01.2024 06:15;0,263000;
01.01.2024 06:30;0,266000;
01.01.2024 06:45;0,268000;
01.01.2024 07:00;0,265000;
01.01.2024 07:15;0,263000;
01.01.2024 07:30;0,265000;
01.01.2024 07:45;0,268000;
01.01.2024 08:00;0,296000;
01.01.2024 08:15;0,264000;
01.01.2024 08:30;0,260000;
01.01.2024 08:45;0,253000;
01.01.2024 09:00;0,506000;
01.01.2024 09:15;0,608000;
01.01.2024 09:30;0,626000;
01.01.2024 09:45;0,364000;
01.01.2024 10:00;0,269000;
01.01.2024 10:15;0,057000;
01.01.2024 10:30;0,170000;
01.01.2024 10:45;0,002000;
01.01.2024 11:00;0,006000;
01.01.2024 11:15;0,000000;
01.01.2024 11:30;0,037000;
01.01.2024 11:45;0,007000;
01.01.2024 12:00;0,000000;
01.01.2024 12:15;0,026000;
01.01.2024 12:30;0,000000;
01.01.2024 12:45;0,000000;
01.01.2024 13:00;0,000000;
01.01.2024 13:15;0,067000;
01.01.2024 13:30;0,029000;
01.01.2024 13:45;0,069000;
01.01.2024 14:00;0,047000;
01.01.2024 14:15;0,094000;
01.01.2024 14:30;0,116000;
01.01.2024 14:45;0,163000;
01.01.2024 15:00;0,283000;
01.01.2024 15:15;0,495000;
01.01.2024 15:30;0,869000;
01.01.2024 15:45;0,406000;
