"Datum und Uhrzeit";"Lastgänge (306,499 kWh)";"Status"
"2023-06-08 00:00:00";0.219;"Wert ist gültig"
"2023-06-08 00:15:00";0.229;"Wert ist gültig"
"2023-06-08 00:30:00";0.208;"Wert ist gültig"
"2023-06-08 00:45:00";0.209;"Wert ist gültig"
"2023-06-08 01:00:00";0.206;"Wert ist gültig"
"2023-06-08 01:15:00";0.224;"Wert ist gültig"
"2023-06-08 01:30:00";0.242;"Wert ist gültig"
"2023-06-08 01:45:00";0.235;"Wert ist gültig"
"2023-06-08 02:00:00";0.251;"Wert ist gültig"
"2023-06-08 02:15:00";0.235;"Wert ist gültig"
"2023-06-08 02:30:00";0.203;"Wert ist gültig"
"2023-06-08 02:45:00";0.201;"Wert ist gültig"
"2023-06-08 03:00:00";0.215;"Wert ist gültig"
"2023-06-08 03:15:00";0.202;"Wert ist gültig"
"2023-06-08 03:30:00";0.206;"Wert ist gültig"
"2023-06-08 03:45:00";0.229;"Wert ist gültig"
"2023-06-08 04:00:00";0.076;"Wert ist gültig"
"2023-06-08 04:15:00";0.07;"Wert ist gültig"
"2023-06-08 04:30:00";0.062;"Wert ist gültig"
"2023-06-08 04:45:00";0.059;"Wert ist gültig"
"2023-06-08 05:00:00";0.035;"Wert ist gültig"
"2023-06-08 05:15:00";0.039;"Wert ist gültig"
"2023-06-08 05:30:00";0;"Wert ist gültig"
"2023-06-08 05:45:00";0.374;"Wert ist gültig"
"2023-06-08 06:00:00";0.498;"Wert ist gültig"
"2023-06-08 06:15:00";0.216;"Wert ist gültig"
"2023-06-08 06:30:00";0.008;"Wert ist gültig"
"2023-06-08 06:45:00";0;"Wert ist gültig"
"2023-06-08 07:00:00";0;"Wert ist gültig"
"2023-06-08 07:15:00";0;"Wert ist gültig"
"2023-06-08 07:30:00";0;"Wert ist gültig"
"2023-06-08 07:45:00";0;"Wert ist gültig"
"2023-06-08 08:00:00";0;"Wert ist gültig"
"2023-06-08 08:15:00";0;"Wert ist gültig"
"2023-06-08 08:30:00";0;"Wert ist gültig"
"2023-06-08 08:45:00";0;"Wert ist gültig"
"2023-06-08 09:00:00";0;"Wert ist gültig"
"2023-06-08 09:15:00";0;"Wert ist gültig"
"2023-06-08 09:30:00";0;"Wert ist gültig"
"2023-06-08 09:45:00";0;"Wert ist gültig"
"2023-06-08 10:00:00";0;"Wert ist gültig"
"2023-06-08 10:15:00";0;"Wert ist gültig"
"2023-06-08 10:30:00";0;"Wert ist gültig"
"2023-06-08 10:45:00";0;"Wert ist gültig"
"2023-06-08 11:00:00";0;"Wert ist gültig"
"2023-06-08 11:15:00";0;"Wert ist gültig"
"2023-06-08 11:30:00";0;"Wert ist gültig"
"2023-06-08 11:45:00";0;"Wert ist gültig"
"2023-06-08 12:00:00";0;"Wert ist gültig"
"2023-06-08 12:15:00";0;"Wert ist gültig"
"2023-06-08 12:30:00";0;"Wert ist gültig"
"2023-06-08 12:45:00";0;"Wert ist gültig"
"2023-06-08 13:00:00";0;"Wert ist gültig"
"2023-06-08 13:15:00";0;"Wert ist gültig"
"2023-06-08 13:30:00";0;"Wert ist gültig"
"2023-06-08 13:45:00";0;"Wert ist gültig"
"2023-06-08 14:00:00";0;"Wert ist gültig"
"2023-06-08 14:15:00";0;"Wert ist gültig"
"2023-06-08 14:30:00";0;"Wert ist gültig"
"2023-06-08 14:45:00";0;"Wert ist gültig"
"2023-06-08 15:00:00";0;"Wert ist gültig"
"2023-06-08 15:15:00";0;"Wert ist gültig"
"2023-06-08 15:30:00";0;"Wert ist gültig"
"2023-06-08 15:45:00";0;"Wert ist gültig"
"2023-06-08 16:00:00";0;"Wert ist gültig"
