"Datum";"Restverbrauch (kWh)";"Status"
"01.05.2024 00:00:00";0,044;"Wert ist gültig(L1)"
"01.05.2024 00:15:00";0,039;"Wert ist gültig(L1)"
"01.05.2024 00:30:00";0,039;"Wert ist gültig(L1)"
"01.05.2024 00:45:00";0,045;"Wert ist gültig(L1)"
"01.05.2024 01:00:00";0,045;"Wert ist gültig(L1)"
"01.05.2024 01:15:00";0,041;"Wert ist gültig(L1)"
"01.05.2024 01:30:00";0,04;"Wert ist gültig(L1)"
"01.05.2024 01:45:00";0,045;"Wert ist gültig(L1)"
"01.05.2024 02:00:00";0,044;"Wert ist gültig(L1)"
"01.05.2024 02:15:00";0,038;"Wert ist gültig(L1)"
"01.05.2024 02:30:00";0,039;"Wert ist gültig(L1)"
"01.05.2024 02:45:00";0,046;"Wert ist gültig(L1)"
"01.05.2024 03:00:00";0,046;"Wert ist gültig(L1)"
"01.05.2024 03:15:00";0,04;"Wert ist gültig(L1)"
"01.05.2024 03:30:00";0,04;"Wert ist gültig(L1)"
"01.05.2024 03:45:00";0,045;"Wert ist gültig(L1)"
"01.05.2024 04:00:00";0,047;"Wert ist gültig(L1)"
"01.05.2024 04:15:00";0,041;"Wert ist gültig(L1)"
"01.05.2024 04:30:00";0,04;"Wert ist gültig(L1)"
"01.05.2024 04:45:00";0,042;"Wert ist gültig(L1)"
"01.05.2024 05:00:00";0,044;"Wert ist gültig(L1)"
"01.05.2024 05:15:00";0,037;"Wert ist gültig(L1)"
"01.05.2024 05:30:00";0,036;"Wert ist gültig(L1)"
"01.05.2024 05:45:00";0,038;"Wert ist gültig(L1)"
"01.05.2024 06:00:00";0,042;"Wert ist gültig(L1)"
"01.05.2024 06:15:00";0,036;"Wert ist gültig(L1)"
"01.05.2024 06:30:00";0,035;"Wert ist gültig(L1)"
"01.05.2024 06:45:00";0,036;"Wert ist gültig(L1)"
"01.05.2024 07:00:00";0,042;"Wert ist gültig(L1)"
"01.05.2024 07:15:00";0,036;"Wert ist gültig(L1)"
"01.05.2024 07:30:00";0,035;"Wert ist gültig(L1)"
"01.05.2024 07:45:00";0,035;"Wert ist gültig(L1)"
"01.05.2024 08:00:00";0,043;"Wert ist gültig(L1)"
"01.05.2024 08:15:00";0,039;"Wert ist gültig(L1)"
"01.05.2024 08:30:00";0,036;"Wert ist gültig(L1)"
"01.05.2024 08:45:00";0,038;"Wert ist gültig(L1)"
"01.05.2024 09:00:00";0,042;"Wert ist gültig(L1)"
"01.05.2024 09:15:00";0,039;"Wert ist gültig(L1)"
"01.05.2024 09:30:00";0,036;"Wert ist gültig(L1)"
"01.05.2024 09:45:00";0,046;"Wert ist gültig(L1)"
"01.05.2024 10:00:00";0,05;"Wert ist gültig(L1)"
"01.05.2024 10:15:00";0,038;"Wert ist gültig(L1)"
"01.05.2024 10:30:00";0,05;"Wert ist gültig(L1)"
"01.05.2024 10:45:00";0,042;"Wert ist gültig(L1)"
"01.05.2024 11:00:00";0,042;"Wert ist gültig(L1)"
"01.05.2024 11:15:00";0,138;"Wert ist gültig(L1)"
"01.05.2024 11:30:00";0,571;"Wert ist gültig(L1)"
"01.05.2024 11:45:00";0,158;"Wert ist gültig(L1)"
"01.05.2024 12:00:00";0,068;"Wert ist gültig(L1)"
"01.05.2024 12:15:00";0,066;"Wert ist gültig(L1)"
"01.05.2024 12:30:00";0,077;"Wert ist gültig(L1)"
"01.05.2024 12:45:00";0,056;"Wert ist gültig(L1)"
"01.05.2024 13:00:00";0,043;"Wert ist gültig(L1)"
