Zählpunktbezeichnung;Kennzahl;Zählernummer;Exportiere ab;Exportiere bis;Exportiere ab;Exportiere bis
AT0090000000000000000000000049656;1-1:1.9.0 P.01;;01.10.2023;31.10.2023;00:00;00:00
Startdatum;Startuhrzeit;Enddatum;Enduhrzeit;Verbrauch (in kWh);Zählerstand um 24 Uhr (in kWh);Status
01.10.2023;00:00;01.10.2023;00:15;0,054;-;Wahrer Wert
01.10.2023;00:15;01.10.2023;00:30;0,059;-;Wahrer Wert
01.10.2023;00:30;01.10.2023;00:45;0,064;-;Wahrer Wert
01.10.2023;00:45;01.10.2023;01:00;0,080;-;Wahrer Wert
01.10.2023;01:00;01.10.2023;01:15;0,053;-;Wahrer Wert
01.10.2023;01:15;01.10.2023;01:30;0,060;-;Wahrer Wert
01.10.2023;01:30;01.10.2023;01:45;0,057;-;Wahrer Wert
01.10.2023;01:45;01.10.2023;02:00;0,080;-;Wahrer Wert
01.10.2023;02:00;01.10.2023;02:15;0,057;-;Wahrer Wert
01.10.2023;02:15;01.10.2023;02:30;0,063;-;Wahrer Wert
01.10.2023;02:30;01.10.2023;02:45;0,052;-;Wahrer Wert
01.10.2023;02:45;01.10.2023;03:00;0,077;-;Wahrer Wert
01.10.2023;03:00;01.10.2023;03:15;0,069;-;Wahrer Wert
01.10.2023;03:15;01.10.2023;03:30;0,061;-;Wahrer Wert
01.10.2023;03:30;01.10.2023;03:45;0,056;-;Wahrer Wert
01.10.2023;03:45;01.10.2023;04:00;0,072;-;Wahrer Wert
01.10.2023;04:00;01.10.2023;04:15;0,068;-;Wahrer Wert
01.10.2023;04:15;01.10.2023;04:30;0,065;-;Wahrer Wert
01.10.2023;04:30;01.10.2023;04:45;0,048;-;Wahrer Wert
01.10.2023;04:45;01.10.2023;05:00;0,064;-;Wahrer Wert
01.10.2023;05:00;01.10.2023;05:15;0,070;-;Wahrer Wert
01.10.2023;05:15;01.10.2023;05:30;0,068;-;Wahrer Wert
01.10.2023;05:30;01.10.2023;05:45;0,053;-;Wahrer Wert
01.10.2023;05:45;01.10.2023;06:00;0,059;-;Wahrer Wert
01.10.2023;06:00;01.10.2023;06:15;0,064;-;Wahrer Wert
01.10.2023;06:15;01.10.2023;06:30;0,079;-;Wahrer Wert
01.10.2023;06:30;01.10.2023;06:45;0,047;-;Wahrer Wert
01.10.2023;06:45;01.10.2023;07:00;0,062;-;Wahrer Wert
01.10.2023;07:00;01.10.2023;07:15;0,037;-;Wahrer Wert
01.10.2023;07:15;01.10.2023;07:30;0,021;-;Wahrer Wert
01.10.2023;07:30;01.10.2023;07:45;0,000;-;Wahrer Wert
01.10.2023;07:45;01.10.2023;08:00;0,000;-;Wahrer Wert
01.10.2023;08:00;01.10.2023;08:15;0,000;-;Wahrer Wert
01.10.2023;08:15;01.10.2023;08:30;0,001;-;Wahrer Wert
01.10.2023;08:30;01.10.2023;08:45;0,004;-;Wahrer Wert
01.10.2023;08:45;01.10.2023;09:00;0,000;-;Wahrer Wert
01.10.2023;09:00;01.10.2023;09:15;0,000;-;Wahrer Wert
01.10.2023;09:15;01.10.2023;09:30;0,000;-;Wahrer Wert
01.10.2023;09:30;01.10.2023;09:45;0,006;-;Wahrer Wert
01.10.2023;09:45;01.10.2023;10:00;0,001;-;Wahrer Wert
01.10.2023;10:00;01.10.2023;10:15;0,000;-;Wahrer Wert
01.10.2023;10:15;01.10.2023;10:30;0,000;-;Wahrer Wert
01.10.2023;10:30;01.10.2023;10:45;0,000;-;Wahrer Wert
01.10.2023;10:45;01.10.2023;11:00;0,000;-;Wahrer Wert
01.10.2023;11:00;01.10.2023;11:15;0,034;-;Wahrer Wert
01.10.2023;11:15;01.10.2023;11:30;0,000;-;Wahrer Wert
01.10.2023;11:30;01.10.2023;11:45;0,051;-;Wahrer Wert
01.10.2023;11:45;01.10.2023;12:00;0,063;-;Wahrer Wert
01.10.2023;12:00;01.10.2023;12:15;0,000;-;Wahrer Wert
01.10.2023;12:15;01.10.2023;12:30;0,000;-;Wahrer Wert
01.10.2023;12:30;01.10.2023;12:45;0,000;-;Wahrer Wert
01.10.2023;12:45;01.10.2023;13:00;0,000;-;Wahrer Wert
01.10.2023;13:00;01.10.2023;13:15;0,000;-;Wahrer Wert
01.10.2023;13:15;01.10.2023;13:30;0,000;-;Wahrer Wert
01.10.2023;13:30;01.10.2023;13:45;0,000;-;Wahrer Wert
01.10.2023;13:45;01.10.2023;14:00;0,000;-;Wahrer Wert
01.10.2023;14:00;01.10.2023;14:15;0,036;-;Wahrer Wert
01.10.2023;14:15;01.10.2023;14:30;0,096;-;Wahrer Wert
01.10.2023;14:30;01.10.2023;14:45;0,000;-;Wahrer Wert
01.10.2023;14:45;01.10.2023;15:00;0,000;-;Wahrer Wert
01.10.2023;15:00;01.10.2023;15:15;0,000;-;Wahrer Wert
01.10.2023;15:15;01.10.2023;15:30;0,000;-;Wahrer Wert
01.10.2023;15:30;01.10.2023;15:45;0,001;-;Wahrer Wert
01.10.2023;15:45;01.10.2023;16:00;0,000;-;Wahrer Wert
01.10.2023;16:00;01.10.2023;16:15;0,000;-;Wahrer Wert
01.10.2023;16:15;01.10.2023;16:30;0,000;-;Wahrer Wert
01.10.2023;16:30;01.10.2023;16:45;0,000;-;Wahrer Wert
01.10.2023;16:45;01.10.2023;17:00;0,087;-;Wahrer Wert
01.10.2023;17:00;01.10.2023;17:15;0,000;-;Wahrer Wert
01.10.2023;17:15;01.10.2023;17:30;0,000;-;Wahrer Wert
01.10.2023;17:30;01.10.2023;17:45;0,000;-;Wahrer Wert
01.10.2023;17:45;01.10.2023;18:00;0,013;-;Wahrer Wert
01.10.2023;18:00;01.10.2023;18:15;0,173;-;Wahrer Wert
01.10.2023;18:15;01.10.2023;18:30;0,313;-;Wahrer Wert
01.10.2023;18:30;01.10.2023;18:45;0,168;-;Wahrer Wert
01.10.2023;18:45;01.10.2023;19:00;0,091;-;Wahrer Wert
01.10.2023;19:00;01.10.2023;19:15;0,073;-;Wahrer Wert
01.10.2023;19:15;01.10.2023;19:30;0,083;-;Wahrer Wert
01.10.2023;19:30;01.10.2023;19:45;0,077;-;Wahrer Wert
01.10.2023;19:45;01.10.2023;20:00;0,061;-;Wahrer Wert
01.10.2023;20:00;01.10.2023;20:15;0,061;-;Wahrer Wert
01.10.2023;20:15;01.10.2023;20:30;0,063;-;Wahrer Wert
01.10.2023;20:30;01.10.2023;20:45;0,088;-;Wahrer Wert
01.10.2023;20:45;01.10.2023;21:00;0,079;-;Wahrer Wert
01.10.2023;21:00;01.10.2023;21:15;0,082;-;Wahrer Wert
01.10.2023;21:15;01.10.2023;21:30;0,074;-;Wahrer Wert
01.10.2023;21:30;01.10.2023;21:45;0,101;-;Wahrer Wert
01.10.2023;21:45;01.10.2023;22:00;0,080;-;Wahrer Wert
01.10.2023;22:00;01.10.2023;22:15;0,062;-;Wahrer Wert
01.10.2023;22:15;01.10.2023;22:30;0,058;-;Wahrer Wert
01.10.2023;22:30;01.10.2023;22:45;0,072;-;Wahrer Wert
01.10.2023;22:45;01.10.2023;23:00;0,077;-;Wahrer Wert
01.10.2023;23:00;01.10.2023;23:15;0,058;-;Wahrer Wert
01.10.2023;23:15;01.10.2023;23:30;0,058;-;Wahrer Wert
01.10.2023;23:30;01.10.2023;23:45;0,060;-;Wahrer Wert
01.10.2023;23:45;02.10.2023;00:00;0,079;-;Wahrer Wert
02.10.2023;00:00;02.10.2023;00:15;0,064;-;Wahrer Wert
02.10.2023;00:15;02.10.2023;00:30;0,057;-;Wahrer Wert
02.10.2023;00:30;02.10.2023;00:45;0,058;-;Wahrer Wert
02.10.2023;00:45;02.10.2023;01:00;0,075;-;Wahrer Wert
02.10.2023;01:00;02.10.2023;01:15;0,069;-;Wahrer Wert
02.10.2023;01:15;02.10.2023;01:30;0,057;-;Wahrer Wert
02.10.2023;01:30;02.10.2023;01:45;0,056;-;Wahrer Wert
02.10.2023;01:45;02.10.2023;02:00;0,067;-;Wahrer Wert
02.10.2023;02:00;02.10.2023;02:15;0,070;-;Wahrer Wert
02.10.2023;02:15;02.10.2023;02:30;0,063;-;Wahrer Wert
02.10.2023;02:30;02.10.2023;02:45;0,056;-;Wahrer Wert
02.10.2023;02:45;02.10.2023;03:00;0,057;-;Wahrer Wert
02.10.2023;03:00;02.10.2023;03:15;0,077;-;Wahrer Wert
02.10.2023;03:15;02.10.2023;03:30;0,076;-;Wahrer Wert
02.10.2023;03:30;02.10.2023;03:45;0,052;-;Wahrer Wert
02.10.2023;03:45;02.10.2023;04:00;0,065;-;Wahrer Wert
02.10.2023;04:00;02.10.2023;04:15;0,065;-;Wahrer Wert
02.10.2023;04:15;02.10.2023;04:30;0,074;-;Wahrer Wert
02.10.2023;04:30;02.10.2023;04:45;0,053;-;Wahrer Wert
02.10.2023;04:45;02.10.2023;05:00;0,058;-;Wahrer Wert
02.10.2023;05:00;02.10.2023;05:15;0,056;-;Wahrer Wert
02.10.2023;05:15;02.10.2023;05:30;0,081;-;Wahrer Wert
02.10.2023;05:30;02.10.2023;05:45;0,059;-;Wahrer Wert
02.10.2023;05:45;02.10.2023;06:00;0,087;-;Wahrer Wert
02.10.2023;06:00;02.10.2023;06:15;0,062;-;Wahrer Wert
02.10.2023;06:15;02.10.2023;06:30;0,088;-;Wahrer Wert
02.10.2023;06:30;02.10.2023;06:45;0,073;-;Wahrer Wert
02.10.2023;06:45;02.10.2023;07:00;0,070;-;Wahrer Wert
02.10.2023;07:00;02.10.2023;07:15;0,056;-;Wahrer Wert
02.10.2023;07:15;02.10.2023;07:30;0,066;-;Wahrer Wert
02.10.2023;07:30;02.10.2023;07:45;0,053;-;Wahrer Wert
02.10.2023;07:45;02.10.2023;08:00;0,037;-;Wahrer Wert
02.10.2023;08:00;02.10.2023;08:15;0,019;-;Wahrer Wert
02.10.2023;08:15;02.10.2023;08:30;0,014;-;Wahrer Wert
02.10.2023;08:30;02.10.2023;08:45;0,001;-;Wahrer Wert
02.10.2023;08:45;02.10.2023;09:00;0,000;-;Wahrer Wert
02.10.2023;09:00;02.10.2023;09:15;0,000;-;Wahrer Wert
02.10.2023;09:15;02.10.2023;09:30;0,000;-;Wahrer Wert
02.10.2023;09:30;02.10.2023;09:45;0,000;-;Wahrer Wert
02.10.2023;09:45;02.10.2023;10:00;0,000;-;Wahrer Wert
02.10.2023;10:00;02.10.2023;10:15;0,000;-;Wahrer Wert
02.10.2023;10:15;02.10.2023;10:30;0,000;-;Wahrer Wert
02.10.2023;10:30;02.10.2023;10:45;0,000;-;Wahrer Wert
02.10.2023;10:45;02.10.2023;11:00;0,000;-;Wahrer Wert
02.10.2023;11:00;02.10.2023;11:15;0,000;-;Wahrer Wert
02.10.2023;11:15;02.10.2023;11:30;0,000;-;Wahrer Wert
02.10.2023;11:30;02.10.2023;11:45;0,000;-;Wahrer Wert
02.10.2023;11:45;02.10.2023;12:00;0,000;-;Wahrer Wert
02.10.2023;12:00;02.10.2023;12:15;0,000;-;Wahrer Wert
02.10.2023;12:15;02.10.2023;12:30;0,000;-;Wahrer Wert
02.10.2023;12:30;02.10.2023;12:45;0,000;-;Wahrer Wert
02.10.2023;12:45;02.10.2023;13:00;0,000;-;Wahrer Wert
02.10.2023;13:00;02.10.2023;13:15;0,000;-;Wahrer Wert
02.10.2023;13:15;02.10.2023;13:30;0,000;-;Wahrer Wert
02.10.2023;13:30;02.10.2023;13:45;0,000;-;Wahrer Wert
02.10.2023;13:45;02.10.2023;14:00;0,000;-;Wahrer Wert
02.10.2023;14:00;02.10.2023;14:15;0,000;-;Wahrer Wert
02.10.2023;14:15;02.10.2023;14:30;0,000;-;Wahrer Wert
02.10.2023;14:30;02.10.2023;14:45;0,000;-;Wahrer Wert
02.10.2023;14:45;02.10.2023;15:00;0,000;-;Wahrer Wert
02.10.2023;15:00;02.10.2023;15:15;0,000;-;Wahrer Wert
02.10.2023;15:15;02.10.2023;15:30;0,000;-;Wahrer Wert
02.10.2023;15:30;02.10.2023;15:45;0,000;-;Wahrer Wert
02.10.2023;15:45;02.10.2023;16:00;0,214;-;Wahrer Wert
02.10.2023;16:00;02.10.2023;16:15;0,257;-;Wahrer Wert
02.10.2023;16:15;02.10.2023;16:30;0,000;-;Wahrer Wert
02.10.2023;16:30;02.10.2023;16:45;0,000;-;Wahrer Wert
02.10.2023;16:45;02.10.2023;17:00;0,000;-;Wahrer Wert
02.10.2023;17:00;02.10.2023;17:15;0,000;-;Wahrer Wert
02.10.2023;17:15;02.10.2023;17:30;0,000;-;Wahrer Wert
02.10.2023;17:30;02.10.2023;17:45;0,000;-;Wahrer Wert
02.10.2023;17:45;02.10.2023;18:00;0,018;-;Wahrer Wert
02.10.2023;18:00;02.10.2023;18:15;0,175;-;Wahrer Wert
02.10.2023;18:15;02.10.2023;18:30;0,064;-;Wahrer Wert
02.10.2023;18:30;02.10.2023;18:45;0,065;-;Wahrer Wert
02.10.2023;18:45;02.10.2023;19:00;0,163;-;Wahrer Wert
02.10.2023;19:00;02.10.2023;19:15;0,091;-;Wahrer Wert
02.10.2023;19:15;02.10.2023;19:30;0,067;-;Wahrer Wert
02.10.2023;19:30;02.10.2023;19:45;0,078;-;Wahrer Wert
02.10.2023;19:45;02.10.2023;20:00;0,073;-;Wahrer Wert
02.10.2023;20:00;02.10.2023;20:15;0,064;-;Wahrer Wert
02.10.2023;20:15;02.10.2023;20:30;0,077;-;Wahrer Wert
02.10.2023;20:30;02.10.2023;20:45;0,095;-;Wahrer Wert
02.10.2023;20:45;02.10.2023;21:00;0,106;-;Wahrer Wert
02.10.2023;21:00;02.10.2023;21:15;0,091;-;Wahrer Wert
02.10.2023;21:15;02.10.2023;21:30;0,087;-;Wahrer Wert
02.10.2023;21:30;02.10.2023;21:45;0,090;-;Wahrer Wert
02.10.2023;21:45;02.10.2023;22:00;0,087;-;Wahrer Wert
02.10.2023;22:00;02.10.2023;22:15;0,067;-;Wahrer Wert
02.10.2023;22:15;02.10.2023;22:30;0,066;-;Wahrer Wert
02.10.2023;22:30;02.10.2023;22:45;0,061;-;Wahrer Wert
02.10.2023;22:45;02.10.2023;23:00;0,077;-;Wahrer Wert
02.10.2023;23:00;02.10.2023;23:15;0,066;-;Wahrer Wert
02.10.2023;23:15;02.10.2023;23:30;0,062;-;Wahrer Wert
02.10.2023;23:30;02.10.2023;23:45;0,059;-;Wahrer Wert
02.10.2023;23:45;03.10.2023;00:00;0,070;-;Wahrer Wert
03.10.2023;00:00;03.10.2023;00:15;0,073;-;Wahrer Wert
03.10.2023;00:15;03.10.2023;00:30;0,059;-;Wahrer Wert
