Start;Ende;Verbrauch (kWh) - Gesamtverbrauch;Zählerstand (kWh) - Gesamtverbrauch
 01.07.2023 00:00:00; 01.07.2023 00:15:00;0,064;24491,655
 01.07.2023 00:15:00; 01.07.2023 00:30:00;0,06;24491,715
 01.07.2023 00:30:00; 01.07.2023 00:45:00;0,067;24491,782
 01.07.2023 00:45:00; 01.07.2023 01:00:00;0,065;24491,847
 01.07.2023 01:00:00; 01.07.2023 01:15:00;0,085;24491,932
 01.07.2023 01:15:00; 01.07.2023 01:30:00;0,075;24492,007
 01.07.2023 01:30:00; 01.07.2023 01:45:00;0,067;24492,074
 01.07.2023 01:45:00; 01.07.2023 02:00:00;0,069;24492,143
 01.07.2023 02:00:00; 01.07.2023 02:15:00;0,055;24492,198
 01.07.2023 02:15:00; 01.07.2023 02:30:00;0,064;24492,262
 01.07.2023 02:30:00; 01.07.2023 02:45:00;0,071;24492,333
 01.07.2023 02:45:00; 01.07.2023 03:00:00;0,076;24492,409
 01.07.2023 03:00:00; 01.07.2023 03:15:00;0,08;24492,489
 01.07.2023 03:15:00; 01.07.2023 03:30:00;0,062;24492,551
 01.07.2023 03:30:00; 01.07.2023 03:45:00;0,07;24492,621
 01.07.2023 03:45:00; 01.07.2023 04:00:00;0,057;24492,678
 01.07.2023 04:00:00; 01.07.2023 04:15:00;0,063;24492,741
 01.07.2023 04:15:00; 01.07.2023 04:30:00;0,081;24492,822
 01.07.2023 04:30:00; 01.07.2023 04:45:00;0,071;24492,893
 01.07.2023 04:45:00; 01.07.2023 05:00:00;0,08;24492,973
 01.07.2023 05:00:00; 01.07.2023 05:15:00;0,052;24493,025
 01.07.2023 05:15:00; 01.07.2023 05:30:00;0,059;24493,084
 01.07.2023 05:30:00; 01.07.2023 05:45:00;0,04;24493,124
 01.07.2023 05:45:00; 01.07.2023 06:00:00;0,047;24493,171
 01.07.2023 06:00:00; 01.07.2023 06:15:00;0,04;24493,211
 01.07.2023 06:15:00; 01.07.2023 06:30:00;0,005;24493,216
 01.07.2023 06:30:00; 01.07.2023 06:45:00;0;24493,216
 01.07.2023 06:45:00; 01.07.2023 07:00:00;0;24493,216
 01.07.2023 07:00:00; 01.07.2023 07:15:00;0,001;24493,217
 01.07.2023 07:15:00; 01.07.2023 07:30:00;0;24493,217
 01.07.2023 07:30:00; 01.07.2023 07:45:00;0;24493,217
 01.07.2023 07:45:00; 01.07.2023 08:00:00;0;24493,217
 01.07.2023 08:00:00; 01.07.2023 08:15:00;0;24493,217
 01.07.2023 08:15:00; 01.07.2023 08:30:00;0;24493,217
 01.07.2023 08:30:00; 01.07.2023 08:45:00;0,007;24493,224
 01.07.2023 08:45:00; 01.07.2023 09:00:00;0,008;24493,232
 01.07.2023 09:00:00; 01.07.2023 09:15:00;0,015;24493,247
 01.07.2023 09:15:00; 01.07.2023 09:30:00;0,121;24493,368
 01.07.2023 09:30:00; 01.07.2023 09:45:00;0,025;24493,393
 01.07.2023 09:45:00; 01.07.2023 10:00:00;0,001;24493,394
 01.07.2023 10:00:00; 01.07.2023 10:15:00;0;24493,394
 01.07.2023 10:15:00; 01.07.2023 10:30:00;0;24493,394
 01.07.2023 10:30:00; 01.07.2023 10:45:00;0;24493,394
 01.07.2023 10:45:00; 01.07.2023 11:00:00;0;24493,394
 01.07.2023 11:00:00; 01.07.2023 11:15:00;0;24493,394
 01.07.2023 11:15:00; 01.07.2023 11:30:00;0;24493,394
 01.07.2023 11:30:00; 01.07.2023 11:45:00;0,131;24493,525
 01.07.2023 11:45:00; 01.07.2023 12:00:00;0,172;24493,697
 01.07.2023 12:00:00; 01.07.2023 12:15:00;0;24493,697
 01.07.2023 12:15:00; 01.07.2023 12:30:00;0;24493,697
 01.07.2023 12:30:00; 01.07.2023 12:45:00;0;24493,697
 01.07.2023 12:45:00; 01.07.2023 13:00:00;0;24493,697
 01.07.2023 13:00:00; 01.07.2023 13:15:00;0,026;24493,723
 01.07.2023 13:15:00; 01.07.2023 13:30:00;0,131;24493,854
 01.07.2023 13:30:00; 01.07.2023 13:45:00;0,076;24493,93
 01.07.2023 13:45:00; 01.07.2023 14:00:00;0,013;24493,943
 01.07.2023 14:00:00; 01.07.2023 14:15:00;0,12;24494,063
 01.07.2023 14:15:00; 01.07.2023 14:30:00;0,001;24494,064
 01.07.2023 14:30:00; 01.07.2023 14:45:00;0,002;24494,066
 01.07.2023 14:45:00; 01.07.2023 15:00:00;0,017;24494,083
 01.07.2023 15:00:00; 01.07.2023 15:15:00;0,019;24494,102
 01.07.2023 15:15:00; 01.07.2023 15:30:00;0,016;24494,118
 01.07.2023 15:30:00; 01.07.2023 15:45:00;0,07;24494,188
 01.07.2023 15:45:00; 01.07.2023 16:00:00;0,007;24494,195
 01.07.2023 16:00:00; 01.07.2023 16:15:00;0,08;24494,275
 01.07.2023 16:15:00; 01.07.2023 16:30:00;0,075;24494,35
 01.07.2023 16:30:00; 01.07.2023 16:45:00;0,056;24494,406
 01.07.2023 16:45:00; 01.07.2023 17:00:00;0,004;24494,41
 01.07.2023 17:00:00; 01.07.2023 17:15:00;0;24494,41
 01.07.2023 17:15:00; 01.07.2023 17:30:00;0,005;24494,415
 01.07.2023 17:30:00; 01.07.2023 17:45:00;0,002;24494,417
 01.07.2023 17:45:00; 01.07.2023 18:00:00;0,046;24494,463
 01.07.2023 18:00:00; 01.07.2023 18:15:00;0,054;24494,517
 01.07.2023 18:15:00; 01.07.2023 18:30:00;0,072;24494,589
 01.07.2023 18:30:00; 01.07.2023 18:45:00;0,168;24494,757
 01.07.2023 18:45:00; 01.07.2023 19:00:00;0,244;24495,001
 01.07.2023 19:00:00; 01.07.2023 19:15:00;0,275;24495,276
 01.07.2023 19:15:00; 01.07.2023 19:30:00;0,416;24495,692
 01.07.2023 19:30:00; 01.07.2023 19:45:00;0,272;24495,964
 01.07.2023 19:45:00; 01.07.2023 20:00:00;0,184;24496,148
 01.07.2023 20:00:00; 01.07.2023 20:15:00;0,054;24496,202
 01.07.2023 20:15:00; 01.07.2023 20:30:00;0,104;24496,306
 01.07.2023 20:30:00; 01.07.2023 20:45:00;0,075;24496,381
 01.07.2023 20:45:00; 01.07.2023 21:00:00;0,081;24496,462
 01.07.2023 21:00:00; 01.07.2023 21:15:00;0,093;24496,555
 01.07.2023 21:15:00; 01.07.2023 21:30:00;0,093;24496,648
 01.07.2023 21:30:00; 01.07.2023 21:45:00;0,092;24496,74
 01.07.2023 21:45:00; 01.07.2023 22:00:00;0,08;24496,82
 01.07.2023 22:00:00; 01.07.2023 22:15:00;0,085;24496,905
 01.07.2023 22:15:00; 01.07.2023 22:30:00;0,072;24496,977
 01.07.2023 22:30:00; 01.07.2023 22:45:00;0,083;24497,06
 01.07.2023 22:45:00; 01.07.2023 23:00:00;0,085;24497,145
 01.07.2023 23:00:00; 01.07.2023 23:15:00;0,073;24497,218
 01.07.2023 23:15:00; 01.07.2023 23:30:00;0,065;24497,283
 01.07.2023 23:30:00; 01.07.2023 23:45:00;0,057;24497,34
 01.07.2023 23:45:00; 02.07.2023 00:00:00;0,066;24497,406
 02.07.2023 00:00:00; 02.07.2023 00:15:00;0,059;24497,465
 02.07.2023 00:15:00; 02.07.2023 00:30:00;0,079;24497,544
 02.07.2023 00:30:00; 02.07.2023 00:45:00;0,078;24497,622
 02.07.2023 00:45:00; 02.07.2023 01:00:00;0,072;24497,694
 02.07.2023 01:00:00; 02.07.2023 01:15:00;0,062;24497,756
 02.07.2023 01:15:00; 02.07.2023 01:30:00;0,054;24497,81
 02.07.2023 01:30:00; 02.07.2023 01:45:00;0,079;24497,889
 02.07.2023 01:45:00; 02.07.2023 02:00:00;0,083;24497,972
 02.07.2023 02:00:00; 02.07.2023 02:15:00;0,101;24498,073
 02.07.2023 02:15:00; 02.07.2023 02:30:00;0,081;24498,154
 02.07.2023 02:30:00; 02.07.2023 02:45:00;0,073;24498,227
 02.07.2023 02:45:00; 02.07.2023 03:00:00;0,057;24498,284
 02.07.2023 03:00:00; 02.07.2023 03:15:00;0,067;24498,351
 02.07.2023 03:15:00; 02.07.2023 03:30:00;0,055;24498,406
 02.07.2023 03:30:00; 02.07.2023 03:45:00;0,083;24498,489
 02.07.2023 03:45:00; 02.07.2023 04:00:00;0,071;24498,56
 02.07.2023 04:00:00; 02.07.2023 04:15:00;0,081;24498,641
 02.07.2023 04:15:00; 02.07.2023 04:30:00;0,058;24498,699
 02.07.2023 04:30:00; 02.07.2023 04:45:00;0,063;24498,762
 02.07.2023 04:45:00; 02.07.2023 05:00:00;0,053;24498,815
 02.07.2023 05:00:00; 02.07.2023 05:15:00;0,063;24498,878
 02.07.2023 05:15:00; 02.07.2023 05:30:00;0,055;24498,933
 02.07.2023 05:30:00; 02.07.2023 05:45:00;0,059;24498,992
 02.07.2023 05:45:00; 02.07.2023 06:00:00;0,035;24499,027
 02.07.2023 06:00:00; 02.07.2023 06:15:00;0,002;24499,029
 02.07.2023 06:15:00; 02.07.2023 06:30:00;0;24499,029
 02.07.2023 06:30:00; 02.07.2023 06:45:00;0;24499,029
 02.07.2023 06:45:00; 02.07.2023 07:00:00;0;24499,029
 02.07.2023 07:00:00; 02.07.2023 07:15:00;0;24499,029
 02.07.2023 07:15:00; 02.07.2023 07:30:00;0;24499,029
 02.07.2023 07:30:00; 02.07.2023 07:45:00;0;24499,029
 02.07.2023 07:45:00; 02.07.2023 08:00:00;0;24499,029
 02.07.2023 08:00:00; 02.07.2023 08:15:00;0;24499,029
 02.07.2023 08:15:00; 02.07.2023 08:30:00;0,008;24499,037
 02.07.2023 08:30:00; 02.07.2023 08:45:00;0;24499,037
 02.07.2023 08:45:00; 02.07.2023 09:00:00;0,048;24499,085
 02.07.2023 09:00:00; 02.07.2023 09:15:00;0,082;24499,167
 02.07.2023 09:15:00; 02.07.2023 09:30:00;0,09;24499,257
 02.07.2023 09:30:00; 02.07.2023 09:45:00;0,073;24499,33
 02.07.2023 09:45:00; 02.07.2023 10:00:00;0,024;24499,354
 02.07.2023 10:00:00; 02.07.2023 10:15:00;0,066;24499,42
 02.07.2023 10:15:00; 02.07.2023 10:30:00;0,041;24499,461
 02.07.2023 10:30:00; 02.07.2023 10:45:00;0;24499,461
 02.07.2023 10:45:00; 02.07.2023 11:00:00;0;24499,461
 02.07.2023 11:00:00; 02.07.2023 11:15:00;0;24499,461
 02.07.2023 11:15:00; 02.07.2023 11:30:00;0;24499,461
 02.07.2023 11:30:00; 02.07.2023 11:45:00;0,031;24499,492
 02.07.2023 11:45:00; 02.07.2023 12:00:00;0,28;24499,772
 02.07.2023 12:00:00; 02.07.2023 12:15:00;0,002;24499,774
 02.07.2023 12:15:00; 02.07.2023 12:30:00;0;24499,774
 02.07.2023 12:30:00; 02.07.2023 12:45:00;0;24499,774
 02.07.2023 12:45:00; 02.07.2023 13:00:00;0;24499,774
 02.07.2023 13:00:00; 02.07.2023 13:15:00;0;24499,774
 02.07.2023 13:15:00; 02.07.2023 13:30:00;0;24499,774
 02.07.2023 13:30:00; 02.07.2023 13:45:00;0;24499,774
 02.07.2023 13:45:00; 02.07.2023 14:00:00;0;24499,774
 02.07.2023 14:00:00; 02.07.2023 14:15:00;0;24499,774
 02.07.2023 14:15:00; 02.07.2023 14:30:00;0;24499,774
 02.07.2023 14:30:00; 02.07.2023 14:45:00;0;24499,774
 02.07.2023 14:45:00; 02.07.2023 15:00:00;0;24499,774
 02.07.2023 15:00:00; 02.07.2023 15:15:00;0;24499,774
 02.07.2023 15:15:00; 02.07.2023 15:30:00;0;24499,774
 02.07.2023 15:30:00; 02.07.2023 15:45:00;0;24499,774
 02.07.2023 15:45:00; 02.07.2023 16:00:00;0;24499,774
 02.07.2023 16:00:00; 02.07.2023 16:15:00;0;24499,774
 02.07.2023 16:15:00; 02.07.2023 16:30:00;0;24499,774
 02.07.2023 16:30:00; 02.07.2023 16:45:00;0;24499,774
 02.07.2023 16:45:00; 02.07.2023 17:00:00;0,004;24499,778
 02.07.2023 17:00:00; 02.07.2023 17:15:00;0,048;24499,826
 02.07.2023 17:15:00; 02.07.2023 17:30:00;0,022;24499,848
 02.07.2023 17:30:00; 02.07.2023 17:45:00;0,044;24499,892
 02.07.2023 17:45:00; 02.07.2023 18:00:00;0,036;24499,928
 02.07.2023 18:00:00; 02.07.2023 18:15:00;0,034;24499,962
 02.07.2023 18:15:00; 02.07.2023 18:30:00;0,078;24500,04
 02.07.2023 18:30:00; 02.07.2023 18:45:00;0,134;24500,174
 02.07.2023 18:45:00; 02.07.2023 19:00:00;0,166;24500,34
 02.07.2023 19:00:00; 02.07.2023 19:15:00;0,217;24500,557
 02.07.2023 19:15:00; 02.07.2023 19:30:00;0,185;24500,742
 02.07.2023 19:30:00; 02.07.2023 19:45:00;0;24500,742
 02.07.2023 19:45:00; 02.07.2023 20:00:00;0,001;24500,743
 02.07.2023 20:00:00; 02.07.2023 20:15:00;0,019;24500,762
 02.07.2023 20:15:00; 02.07.2023 20:30:00;0,063;24500,825
 02.07.2023 20:30:00; 02.07.2023 20:45:00;0,076;24500,901
 02.07.2023 20:45:00; 02.07.2023 21:00:00;0,072;24500,973
 02.07.2023 21:00:00; 02.07.2023 21:15:00;0,069;24501,042
 02.07.2023 21:15:00; 02.07.2023 21:30:00;0,105;24501,147
 02.07.2023 21:30:00; 02.07.2023 21:45:00;0,114;24501,261
 02.07.2023 21:45:00; 02.07.2023 22:00:00;0,127;24501,388
 02.07.2023 22:00:00; 02.07.2023 22:15:00;0,121;24501,509
 02.07.2023 22:15:00; 02.07.2023 22:30:00;0,123;24501,632
 02.07.2023 22:30:00; 02.07.2023 22:45:00;0,101;24501,733
 02.07.2023 22:45:00; 02.07.2023 23:00:00;0,083;24501,816
 02.07.2023 23:00:00; 02.07.2023 23:15:00;0,058;24501,874
 02.07.2023 23:15:00; 02.07.2023 23:30:00;0,075;24501,949
 02.07.2023 23:30:00; 02.07.2023 23:45:00;0,075;24502,024
 02.07.2023 23:45:00; 03.07.2023 00:00:00;0,081;24502,105
 03.07.2023 00:00:00; 03.07.2023 00:15:00;0,061;24502,166
 03.07.2023 00:15:00; 03.07.2023 00:30:00;0,068;24502,234
 03.07.2023 00:30:00; 03.07.2023 00:45:00;0,058;24502,292
 03.07.2023 00:45:00; 03.07.2023 01:00:00;0,06;24502,352
 03.07.2023 01:00:00; 03.07.2023 01:15:00;0,074;24502,426
 03.07.2023 01:15:00; 03.07.2023 01:30:00;0,081;24502,507
 03.07.2023 01:30:00; 03.07.2023 01:45:00;0,072;24502,579
 03.07.2023 01:45:00; 03.07.2023 02:00:00;0,06;24502,639
 03.07.2023 02:00:00; 03.07.2023 02:15:00;0,063;24502,702
 03.07.2023 02:15:00; 03.07.2023 02:30:00;0,056;24502,758
 03.07.2023 02:30:00; 03.07.2023 02:45:00;0,07;24502,828
 03.07.2023 02:45:00; 03.07.2023 03:00:00;0,075;24502,903
 03.07.2023 03:00:00; 03.07.2023 03:15:00;0,08;24502,983
 03.07.2023 03:15:00; 03.07.2023 03:30:00;0,068;24503,051
 03.07.2023 03:30:00; 03.07.2023 03:45:00;0,071;24503,122
 03.07.2023 03:45:00; 03.07.2023 04:00:00;0,054;24503,176
 03.07.2023 04:00:00; 03.07.2023 04:15:00;0,066;24503,242
