Ablesezeitpunkt,Zaehlerstand Einheitstarif,Zaehlerstand Hochtarif,Zaehlerstand Niedertarif,Verbrauch Einheitstarif,Verbrauch Hochtarif,Verbrauch Niedertarif
2023-04-14T00:00:00.000+02:00,0,0,0,0,0,0
2023-04-14T00:15:00.000+02:00,284.913,0,0,0.029,0,0
2023-04-14T00:30:00.000+02:00,284.957,0,0,0.044,0,0
2023-04-14T00:45:00.000+02:00,284.982,0,0,0.025,0,0
2023-04-14T01:00:00.000+02:00,285.023,0,0,0.041,0,0
2023-04-14T01:15:00.000+02:00,285.054,0,0,0.031,0,0
2023-04-14T01:30:00.000+02:00,285.086,0,0,0.032,0,0
2023-04-14T01:45:00.000+02:00,285.126,0,0,0.04,0,0
2023-04-14T02:00:00.000+02:00,285.152,0,0,0.026,0,0
2023-04-14T02:15:00.000+02:00,285.198,0,0,0.046,0,0
2023-04-14T02:30:00.000+02:00,285.226,0,0,0.028,0,0
2023-04-14T02:45:00.000+02:00,285.262,0,0,0.036,0,0
2023-04-14T03:00:00.000+02:00,285.298,0,0,0.036,0,0
2023-04-14T03:15:00.000+02:00,285.324,0,0,0.026,0,0
2023-04-14T03:30:00.000+02:00,285.37,0,0,0.046,0,0
2023-04-14T03:45:00.000+02:00,285.395,0,0,0.025,0,0
2023-04-14T04:00:00.000+02:00,285.434,0,0,0.039,0,0
2023-04-14T04:15:00.000+02:00,285.466,0,0,0.032,0,0
2023-04-14T04:30:00.000+02:00,285.496,0,0,0.03,0,0
2023-04-14T04:45:00.000+02:00,286.31,0,0,0.814,0,0
2023-04-14T05:00:00.000+02:00,287.14,0,0,0.83,0,0
2023-04-14T05:15:00.000+02:00,287.779,0,0,0.639,0,0
2023-04-14T05:30:00.000+02:00,287.804,0,0,0.025,0,0
2023-04-14T05:45:00.000+02:00,287.841,0,0,0.037,0,0
2023-04-14T06:00:00.000+02:00,287.876,0,0,0.035,0,0
2023-04-14T06:15:00.000+02:00,287.904,0,0,0.028,0,0
2023-04-14T06:30:00.000+02:00,287.948,0,0,0.044,0,0
2023-04-14T06:45:00.000+02:00,287.982,0,0,0.034,0,0
2023-04-14T07:00:00.000+02:00,288.037,0,0,0.055,0,0
2023-04-14T07:15:00.000+02:00,288.079,0,0,0.042,0,0
2023-04-14T07:30:00.000+02:00,288.127,0,0,0.048,0,0
2023-04-14T07:45:00.000+02:00,288.18,0,0,0.053,0,0
2023-04-14T08:00:00.000+02:00,288.373,0,0,0.193,0,0
2023-04-14T08:15:00.000+02:00,288.468,0,0,0.095,0,0
2023-04-14T08:30:00.000+02:00,288.515,0,0,0.047,0,0
2023-04-14T08:45:00.000+02:00,288.581,0,0,0.066,0,0
2023-04-14T09:00:00.000+02:00,288.631,0,0,0.05,0,0
2023-04-14T09:15:00.000+02:00,288.694,0,0,0.063,0,0
2023-04-14T09:30:00.000+02:00,288.745,0,0,0.051,0,0
2023-04-14T09:45:00.000+02:00,288.783,0,0,0.038,0,0
2023-04-14T10:00:00.000+02:00,288.828,0,0,0.045,0,0
2023-04-14T10:15:00.000+02:00,288.856,0,0,0.028,0,0
2023-04-14T10:30:00.000+02:00,288.903,0,0,0.047,0,0
2023-04-14T10:45:00.000+02:00,288.933,0,0,0.03,0,0
2023-04-14T11:00:00.000+02:00,288.97,0,0,0.037,0,0
2023-04-14T11:15:00.000+02:00,289.008,0,0,0.038,0,0
2023-04-14T11:30:00.000+02:00,289.035,0,0,0.027,0,0
2023-04-14T11:45:00.000+02:00,289.08,0,0,0.045,0,0
2023-04-14T12:00:00.000+02:00,289.105,0,0,0.025,0,0
2023-04-14T12:15:00.000+02:00,289.146,0,0,0.041,0,0
2023-04-14T12:30:00.000+02:00,289.178,0,0,0.032,0,0
2023-04-14T12:45:00.000+02:00,289.208,0,0,0.03,0,0
2023-04-14T13:00:00.000+02:00,289.245,0,0,0.037,0,0
2023-04-14T13:15:00.000+02:00,289.399,0,0,0.154,0,0
