Ablesezeitpunkt;Zaehlerstand Gesamt - 1.8.0;Verbrauch Gesamt - 1.8.0;Status Gesamt - 1.8.0;Zaehlerstand Hochtarif - 1.8.1;Verbrauch Hochtarif - 1.8.1;Status Hochtarif - 1.8.1;Zaehlerstand Niedertarif - 1.8.2;Verbrauch Niedertarif - 1.8.2;Status Niedertarif - 1.8.2
2026-04-01T00:00:00.000+02:00;11816,535;1,688;VAL;;;;;;
2026-04-01T00:15:00.000+02:00;11818,225;;;;;;;;
2026-04-01T00:30:00.000+02:00;;;;;;;;;
2026-04-01T00:45:00.000+02:00;11821,595;1,686;VAL;;;;;;
2026-04-01T01:00:00.000+02:00;11823,273;1,678;VAL;;;;;;
2026-04-01T01:15:00.000+02:00;11824,925;1,652;VAL;;;;;;
2026-04-01T01:30:00.000+02:00;11826,579;1,654;VAL;;;;;;
2026-04-01T01:45:00.000+02:00;11828,237;1,658;VAL;;;;;;
2026-04-01T02:00:00.000+02:00;11829,923;1,686;VAL;;;;;;
2026-04-01T02:15:00.000+02:00;11831,593;1,67;VAL;;;;;;
2026-04-01T02:30:00.000+02:00;11833,27;1,677;VAL;;;;;;
2026-04-01T02:45:00.000+02:00;11834,964;1,694;VAL;;;;;;
2026-04-01T03:00:00.000+02:00;11836,647;1,683;VAL;;;;;;
2026-04-01T03:15:00.000+02:00;11838,339;1,692;VAL;;;;;;
2026-04-01T03:30:00.000+02:00;11840,036;1,697;VAL;;;;;;
2026-04-01T03:45:00.000+02:00;11841,717;1,681;VAL;;;;;;
2026-04-01T04:00:00.000+02:00;11842,492;0,775;VAL;;;;;;
2026-04-01T04:15:00.000+02:00;11842,513;0,021;VAL;;;;;;
2026-04-01T04:30:00.000+02:00;11842,538;0,025;VAL;;;;;;
2026-04-01T04:45:00.000+02:00;11842,569;0,031;VAL;;;;;;
2026-04-01T05:00:00.000+02:00;11842,584;0,015;VAL;;;;;;
2026-04-01T05:15:00.000+02:00;11842,616;0,032;VAL;;;;;;
2026-04-01T05:30:00.000+02:00;11842,638;0,022;VAL;;;;;;
2026-04-01T05:45:00.000+02:00;11842,669;0,031;VAL;;;;;;
2026-04-01T06:00:00.000+02:00;11842,697;0,028;VAL;;;;;;
2026-04-01T06:15:00.000+02:00;11842,72;0,023;VAL;;;;;;
2026-04-01T06:30:00.000+02:00;11842,758;0,038;VAL;;;;;;
2026-04-01T06:45:00.000+02:00;11842,783;0,025;VAL;;;;;;
2026-04-01T07:00:00.000+02:00;11842,816;0,033;VAL;;;;;;
2026-04-01T07:15:00.000+02:00;11842,847;0,031;VAL;;;;;;
2026-04-01T07:30:00.000+02:00;11842,869;0,022;VAL;;;;;;
2026-04-01T07:45:00.000+02:00;11842,898;0,029;VAL;;;;;;
2026-04-01T08:00:00.000+02:00;11842,934;0,036;VAL;;;;;;
2026-04-01T08:15:00.000+02:00;11842,958;0,024;VAL;;;;;;
2026-04-01T08:30:00.000+02:00;11842,988;0,03;VAL;;;;;;
2026-04-01T08:45:00.000+02:00;11843,008;0,02;VAL;;;;;;
2026-04-01T09:00:00.000+02:00;11843,023;0,015;VAL;;;;;;
2026-04-01T09:15:00.000+02:00;11843,044;0,021;VAL;;;;;;
2026-04-01T09:30:00.000+02:00;11843,046;0,002;VAL;;;;;;
2026-04-01T09:45:00.000+02:00;11843,063;0,017;VAL;;;;;;
2026-04-01T10:00:00.000+02:00;11843,065;0,002;VAL;;;;;;
2026-04-01T10:15:00.000+02:00;11843,076;0,011;VAL;;;;;;
2026-04-01T10:30:00.000+02:00;11843,093;0,017;VAL;;;;;;
2026-04-01T10:45:00.000+02:00;11843;0,007;VAL;;;;;;
2026-04-01T11:00:00.000+02:00;11843,115;0,015;VAL;;;;;;
2026-04-01T11:15:00.000+02:00;11843,118;0,003;VAL;;;;;;
2026-04-01T11:30:00.000+02:00;11843,124;0,006;VAL;;;;;;
2026-04-01T11:45:00.000+02:00;11843,125;0,001;VAL;;;;;;
2026-04-01T12:00:00.000+02:00;11843,127;0,002;VAL;;;;;;
2026-04-01T12:15:00.000+02:00;11843,127;;VAL;;;;;;
2026-04-01T12:30:00.000+02:00;11843,132;0,005;VAL;;;;;;
2026-04-01T12:45:00.000+02:00;11843,132;;VAL;;;;;;
2026-04-01T13:00:00.000+02:00;11843,133;0,001;VAL;;;;;;
2026-04-01T13:15:00.000+02:00;11843,133;;VAL;;;;;;
2026-04-01T13:30:00.000+02:00;11843,133;;VAL;;;;;;
2026-04-01T13:45:00.000+02:00;11843,145;0,012;VAL;;;;;;
2026-04-01T14:00:00.000+02:00;11843,148;0,003;VAL;;;;;;
2026-04-01T14:15:00.000+02:00;11843,156;0,008;VAL;;;;;;
2026-04-01T14:30:00.000+02:00;11843,159;0,003;VAL;;;;;;
2026-04-01T14:45:00.000+02:00;11843,166;0,007;VAL;;;;;;
2026-04-01T15:00:00.000+02:00;11843,172;0,006;VAL;;;;;;
2026-04-01T15:15:00.000+02:00;11843,175;0,003;VAL;;;;;;
2026-04-01T15:30:00.000+02:00;11843,18;0,005;VAL;;;;;;
2026-04-01T15:45:00.000+02:00;11843,18;;VAL;;;;;;
2026-04-01T16:00:00.000+02:00;11843,18;;VAL;;;;;;
2026-04-01T16:15:00.000+02:00;11843,193;0,013;VAL;;;;;;
2026-04-01T16:30:00.000+02:00;11843,193;;VAL;;;;;;
2026-04-01T16:45:00.000+02:00;11843,193;;VAL;;;;;;
2026-04-01T17:00:00.000+02:00;11843,195;0,002;VAL;;;;;;
2026-04-01T17:15:00.000+02:00;11843,199;0,004;VAL;;;;;;
2026-04-01T17:30:00.000+02:00;11843,219;0,02;VAL;;;;;;
2026-04-01T17:45:00.000+02:00;11843,228;0,009;VAL;;;;;;
2026-04-01T18:00:00.000+02:00;11843,255;0,027;VAL;;;;;;
2026-04-01T18:15:00.000+02:00;11843,281;0,026;VAL;;;;;;
2026-04-01T18:30:00.000+02:00;11844,93;1,649;VAL;;;;;;
2026-04-01T18:45:00.000+02:00;11846,612;1,682;VAL;;;;;;
2026-04-01T19:00:00.000+02:00;11848,272;1,66;VAL;;;;;;
2026-04-01T19:15:00.000+02:00;11849,942;1,67;VAL;;;;;;
2026-04-01T19:30:00.000+02:00;11851,605;1,663;VAL;;;;;;
2026-04-01T19:45:00.000+02:00;11853,265;1,66;VAL;;;;;;
2026-04-01T20:00:00.000+02:00;11855,068;1,803;VAL;;;;;;
2026-04-01T20:15:00.000+02:00;11856,801;1,733;VAL;;;;;;
2026-04-01T20:30:00.000+02:00;11858,47;1,669;VAL;;;;;;
2026-04-01T20:45:00.000+02:00;11859,987;1,517;VAL;;;;;;
2026-04-01T21:00:00.000+02:00;11860,012;0,025;VAL;;;;;;
2026-04-01T21:15:00.000+02:00;11860,156;0,144;VAL;;;;;;
2026-04-01T21:30:00.000+02:00;11860,194;0,038;VAL;;;;;;
2026-04-01T21:45:00.000+02:00;11860,24;0,046;VAL;;;;;;
2026-04-01T22:00:00.000+02:00;11860,28;0,04;VAL;;;;;;
2026-04-01T22:15:00.000+02:00;11860,319;0,039;VAL;;;;;;
2026-04-01T22:30:00.000+02:00;11860,346;0,027;VAL;;;;;;
2026-04-01T22:45:00.000+02:00;11860,381;0,035;VAL;;;;;;
2026-04-01T23:00:00.000+02:00;11860,412;0,031;VAL;;;;;;
2026-04-01T23:15:00.000+02:00;11860,446;0,034;VAL;;;;;;
2026-04-01T23:30:00.000+02:00;11860,468;0,022;VAL;;;;;;
2026-04-01T23:45:00.000+02:00;11860,499;0,031;VAL;;;;;;
2026-04-02T00:00:00.000+02:00;11860,521;0,022;VAL;;;;;;
2026-04-02T00:15:00.000+02:00;11860,55;0,029;VAL;;;;;;
2026-04-02T00:30:00.000+02:00;11860,58;0,03;VAL;;;;;;
2026-04-02T00:45:00.000+02:00;11860,601;0,021;VAL;;;;;;
2026-04-02T01:00:00.000+02:00;11860,629;0,028;VAL;;;;;;
2026-04-02T01:15:00.000+02:00;11860,666;0,037;VAL;;;;;;
2026-04-02T01:30:00.000+02:00;11860,686;0,02;VAL;;;;;;
2026-04-02T01:45:00.000+02:00;11860,716;0,03;VAL;;;;;;
2026-04-02T02:00:00.000+02:00;11860,746;0,03;VAL;;;;;;
2026-04-02T02:15:00.000+02:00;11860,769;0,023;VAL;;;;;;
2026-04-02T02:30:00.000+02:00;11860,805;0,036;VAL;;;;;;
2026-04-02T02:45:00.000+02:00;11860,822;0,017;VAL;;;;;;
2026-04-02T03:00:00.000+02:00;11860,854;0,032;VAL;;;;;;
2026-04-02T03:15:00.000+02:00;11860,879;0,025;VAL;;;;;;
2026-04-02T03:30:00.000+02:00;11860,902;0,023;VAL;;;;;;
2026-04-02T03:45:00.000+02:00;11860,934;0,032;VAL;;;;;;
2026-04-02T04:00:00.000+02:00;11860,957;0,023;VAL;;;;;;
2026-04-02T04:15:00.000+02:00;11860,983;0,026;VAL;;;;;;
2026-04-02T04:30:00.000+02:00;11861,016;0,033;VAL;;;;;;
2026-04-02T04:45:00.000+02:00;11861,042;0,026;VAL;;;;;;
2026-04-02T05:00:00.000+02:00;11861,067;0,025;VAL;;;;;;
2026-04-02T05:15:00.000+02:00;11861,096;0,029;VAL;;;;;;
2026-04-02T05:30:00.000+02:00;11861,119;0,023;VAL;;;;;;
2026-04-02T05:45:00.000+02:00;11861,147;0,028;VAL;;;;;;
2026-04-02T06:00:00.000+02:00;11861,17;0,023;VAL;;;;;;
2026-04-02T06:15:00.000+02:00;11861,201;0,031;VAL;;;;;;
2026-04-02T06:30:00.000+02:00;11861,231;0,03;VAL;;;;;;
2026-04-02T06:45:00.000+02:00;11861,251;0,02;VAL;;;;;;
2026-04-02T07:00:00.000+02:00;11861,29;0,039;VAL;;;;;;
2026-04-02T07:15:00.000+02:00;11861,306;0,016;VAL;;;;;;
2026-04-02T07:30:00.000+02:00;11861,343;0,037;VAL;;;;;;
2026-04-02T07:45:00.000+02:00;11861,37;0,027;VAL;;;;;;
2026-04-02T08:00:00.000+02:00;11861,396;0,026;VAL;;;;;;
2026-04-02T08:15:00.000+02:00;11861,438;0,042;VAL;;;;;;
2026-04-02T08:30:00.000+02:00;11861,455;0,017;VAL;;;;;;
2026-04-02T08:45:00.000+02:00;11861,479;0,024;VAL;;;;;;
2026-04-02T09:00:00.000+02:00;11861,503;0,024;VAL;;;;;;
2026-04-02T09:15:00.000+02:00;11861,523;0,02;VAL;;;;;;
2026-04-02T09:30:00.000+02:00;11861,533;0,01;VAL;;;;;;
2026-04-02T09:45:00.000+02:00;11861,541;0,008;VAL;;;;;;
2026-04-02T10:00:00.000+02:00;11861,545;0,004;VAL;;;;;;
2026-04-02T10:15:00.000+02:00;11861,552;0,007;VAL;;;;;;
2026-04-02T10:30:00.000+02:00;11861,552;;VAL;;;;;;
2026-04-02T10:45:00.000+02:00;11861,552;;VAL;;;;;;
2026-04-02T11:00:00.000+02:00;11861,552;;VAL;;;;;;
2026-04-02T11:15:00.000+02:00;11861,552;;VAL;;;;;;
2026-04-02T11:30:00.000+02:00;11861,553;0,001;VAL;;;;;;
2026-04-02T11:45:00.000+02:00;11861,558;0,005;VAL;;;;;;
2026-04-02T12:00:00.000+02:00;11861,573;0,015;VAL;;;;;;
2026-04-02T12:15:00.000+02:00;11861,59;0,017;VAL;;;;;;
2026-04-02T12:30:00.000+02:00;11861,607;0,017;VAL;;;;;;
2026-04-02T12:45:00.000+02:00;11861,627;0,02;VAL;;;;;;
2026-04-02T13:00:00.000+02:00;11861,641;0,014;VAL;;;;;;
