PLZ Ort, Adresse [Zählpunktnummer];;;PLZ Ort, Adresse [Zählpunktnummer];;
Zählpunktnummer;;;Zählpunktnummer;;
Strom - Wirkenergie (kWh);;;Strom - Wirkenergie (kWh);;
kWh;;;kWh;;
DATE_FROM;DATE_TO;VALUE;DATE_FROM;DATE_TO;VALUE
29.03.2023 00:00;29.03.2023 23:59;18,211;13.04.2023 00:00;13.04.2023 00:14;0,097
30.03.2023 00:00;30.03.2023 23:59;10,941;13.04.2023 00:15;13.04.2023 00:29;0,101
31.03.2023 00:00;31.03.2023 23:59;10,252;13.04.2023 00:30;13.04.2023 00:44;0,105
01.04.2023 00:00;01.04.2023 23:59;2,406;13.04.2023 00:45;13.04.2023 00:59;0,119
02.04.2023 00:00;02.04.2023 23:59;7,503;13.04.2023 01:00;13.04.2023 01:14;0,105
03.04.2023 00:00;03.04.2023 23:59;15,983;13.04.2023 01:15;13.04.2023 01:29;0,099
04.04.2023 00:00;04.04.2023 23:59;20,068;13.04.2023 01:30;13.04.2023 01:44;0,107
05.04.2023 00:00;05.04.2023 23:59;16,561;13.04.2023 01:45;13.04.2023 01:59;0,108
06.04.2023 00:00;06.04.2023 23:59;9,696;13.04.2023 02:00;13.04.2023 02:14;0,108
07.04.2023 00:00;07.04.2023 23:59;2,053;13.04.2023 02:15;13.04.2023 02:29;0,103
08.04.2023 00:00;08.04.2023 23:59;2,141;13.04.2023 02:30;13.04.2023 02:44;0,112
09.04.2023 00:00;09.04.2023 23:59;2,099;13.04.2023 02:45;13.04.2023 02:59;0,104
10.04.2023 00:00;10.04.2023 23:59;8,711;13.04.2023 03:00;13.04.2023 03:14;0,114
11.04.2023 00:00;11.04.2023 23:59;23,491;13.04.2023 03:15;13.04.2023 03:29;0,122
12.04.2023 00:00;12.04.2023 23:59;11,134;13.04.2023 03:30;13.04.2023 03:44;0,137
13.04.2023 00:00;13.04.2023 23:59;15,877;13.04.2023 03:45;13.04.2023 03:59;0,123
14.04.2023 00:00;14.04.2023 23:59;12,935;13.04.2023 04:00;13.04.2023 04:14;0,116
15.04.2023 00:00;15.04.2023 23:59;14,818;13.04.2023 04:15;13.04.2023 04:29;0,12
16.04.2023 00:00;16.04.2023 23:59;15,826;13.04.2023 04:30;13.04.2023 04:44;0,139
17.04.2023 00:00;17.04.2023 23:59;13,593;13.04.2023 04:45;13.04.2023 04:59;0,13
18.04.2023 00:00;18.04.2023 23:59;9,265;13.04.2023 05:00;13.04.2023 05:14;0,116
19.04.2023 00:00;19.04.2023 23:59;10,535;13.04.2023 05:15;13.04.2023 05:29;0,124
20.04.2023 00:00;20.04.2023 23:59;11,047;13.04.2023 05:30;13.04.2023 05:44;0,132
21.04.2023 00:00;21.04.2023 23:59;7,626;13.04.2023 05:45;13.04.2023 05:59;0,127
22.04.2023 00:00;22.04.2023 23:59;9,024;13.04.2023 06:00;13.04.2023 06:14;0,122
23.04.2023 00:00;23.04.2023 23:59;12,692;13.04.2023 06:15;13.04.2023 06:29;0,127
24.04.2023 00:00;24.04.2023 23:59;15,723;13.04.2023 06:30;13.04.2023 06:44;0,277
25.04.2023 00:00;25.04.2023 23:59;16,388;13.04.2023 06:45;13.04.2023 06:59;0,184
26.04.2023 00:00;26.04.2023 23:59;13,252;13.04.2023 07:00;13.04.2023 07:14;0,162
27.04.2023 00:00;27.04.2023 23:59;10,077;13.04.2023 07:15;13.04.2023 07:29;0,263
28.04.2023 00:00;28.04.2023 23:59;12,765;13.04.2023 07:30;13.04.2023 07:44;0,177
29.04.2023 00:00;29.04.2023 23:59;7,68;13.04.2023 07:45;13.04.2023 07:59;0,138
30.04.2023 00:00;30.04.2023 23:59;11,934;13.04.2023 08:00;13.04.2023 08:14;0,156
01.05.2023 00:00;01.05.2023 23:59;12,737;13.04.2023 08:15;13.04.2023 08:29;0,168
02.05.2023 00:00;02.05.2023 23:59;10,846;13.04.2023 08:30;13.04.2023 08:44;0,16
03.05.2023 00:00;03.05.2023 23:59;8,088;13.04.2023 08:45;13.04.2023 08:59;0,172
04.05.2023 00:00;04.05.2023 23:59;8,339;13.04.2023 09:00;13.04.2023 09:14;0,142
05.05.2023 00:00;05.05.2023 23:59;5,694;13.04.2023 09:15;13.04.2023 09:29;0,102
06.05.2023 00:00;06.05.2023 23:59;7,915;13.04.2023 09:30;13.04.2023 09:44;0,085
07.05.2023 00:00;07.05.2023 23:59;4,674;13.04.2023 09:45;13.04.2023 09:59;0,081
08.05.2023 00:00;08.05.2023 23:59;6,865;13.04.2023 10:00;13.04.2023 10:14;0,094
09.05.2023 00:00;09.05.2023 23:59;2,831;13.04.2023 10:15;13.04.2023 10:29;0,055
10.05.2023 00:00;10.05.2023 23:59;8,299;13.04.2023 10:30;13.04.2023 10:44;0,052
11.05.2023 00:00;11.05.2023 23:59;9,816;13.04.2023 10:45;13.04.2023 10:59;0,04
