Adresse [Zählpunktnummer];;;Adresse [Zählpunktnummer];;
Zählpunktnummer;;;Zählpunktnummer;;
Strom - Wirkenergie (kWh);;;Strom - Wirkenergie (kWh);;
kWh;;;kWh;;
DATE_FROM;DATE_TO;VALUE;DATE_FROM;DATE_TO;VALUE
01.11.2023 00:00:00;01.11.2023 00:14:59;0,039;01.11.2023 00:00:00;01.11.2023 23:59:59;1,577
01.11.2023 00:15:00;01.11.2023 00:29:59;0,035;02.11.2023 00:00:00;02.11.2023 23:59:59;2,903
01.11.2023 00:30:00;01.11.2023 00:44:59;0,033;03.11.2023 00:00:00;03.11.2023 23:59:59;11,985
01.11.2023 00:45:00;01.11.2023 00:59:59;0,035;04.11.2023 00:00:00;04.11.2023 23:59:59;26,378
01.11.2023 01:00:00;01.11.2023 01:14:59;0,047;05.11.2023 00:00:00;05.11.2023 23:59:59;24,768
01.11.2023 01:15:00;01.11.2023 01:29:59;0,039;06.11.2023 00:00:00;06.11.2023 23:59:59;25,519
01.11.2023 01:30:00;01.11.2023 01:44:59;0,03;07.11.2023 00:00:00;07.11.2023 23:59:59;27,023
01.11.2023 01:45:00;01.11.2023 01:59:59;0,038;08.11.2023 00:00:00;08.11.2023 23:59:59;21,931
01.11.2023 02:00:00;01.11.2023 02:14:59;0,036;09.11.2023 00:00:00;09.11.2023 23:59:59;25,434
01.11.2023 02:15:00;01.11.2023 02:29:59;0,043;10.11.2023 00:00:00;10.11.2023 23:59:59;21,181
01.11.2023 02:30:00;01.11.2023 02:44:59;0,037;11.11.2023 00:00:00;11.11.2023 23:59:59;19,438
01.11.2023 02:45:00;01.11.2023 02:59:59;0,033;12.11.2023 00:00:00;12.11.2023 23:59:59;21,224
01.11.2023 03:00:00;01.11.2023 03:14:59;0,039;13.11.2023 00:00:00;13.11.2023 23:59:59;19,466
01.11.2023 03:15:00;01.11.2023 03:29:59;0,037;14.11.2023 00:00:00;14.11.2023 23:59:59;20,428
01.11.2023 03:30:00;01.11.2023 03:44:59;0,038;15.11.2023 00:00:00;15.11.2023 23:59:59;18,592
01.11.2023 03:45:00;01.11.2023 03:59:59;0,041;16.11.2023 00:00:00;16.11.2023 23:59:59;24,375
01.11.2023 04:00:00;01.11.2023 04:14:59;0,033;17.11.2023 00:00:00;17.11.2023 23:59:59;23,629
01.11.2023 04:15:00;01.11.2023 04:29:59;0,036;18.11.2023 00:00:00;18.11.2023 23:59:59;28,992
01.11.2023 04:30:00;01.11.2023 04:44:59;0,041;19.11.2023 00:00:00;19.11.2023 23:59:59;16,968
01.11.2023 04:45:00;01.11.2023 04:59:59;0,036;20.11.2023 00:00:00;20.11.2023 23:59:59;14,939
01.11.2023 05:00:00;01.11.2023 05:14:59;0,043;21.11.2023 00:00:00;21.11.2023 23:59:59;17,776
01.11.2023 05:15:00;01.11.2023 05:29:59;0,033;22.11.2023 00:00:00;22.11.2023 23:59:59;19,612
01.11.2023 05:30:00;01.11.2023 05:44:59;0,032;23.11.2023 00:00:00;23.11.2023 23:59:59;22,502
01.11.2023 05:45:00;01.11.2023 05:59:59;0,045;24.11.2023 00:00:00;24.11.2023 23:59:59;19,878
01.11.2023 06:00:00;01.11.2023 06:14:59;0,036;25.11.2023 00:00:00;25.11.2023 23:59:59;18,235
01.11.2023 06:15:00;01.11.2023 06:29:59;0,04;26.11.2023 00:00:00;26.11.2023 23:59:59;23,993
01.11.2023 06:30:00;01.11.2023 06:44:59;0,035;27.11.2023 00:00:00;27.11.2023 23:59:59;29,287
01.11.2023 06:45:00;01.11.2023 06:59:59;0,029;28.11.2023 00:00:00;28.11.2023 23:59:59;29,382
01.11.2023 07:00:00;01.11.2023 07:14:59;0,047;29.11.2023 00:00:00;29.11.2023 23:59:59;25,49
01.11.2023 07:15:00;01.11.2023 07:29:59;0,036;30.11.2023 00:00:00;30.11.2023 23:59:59;32,346
01.11.2023 07:30:00;01.11.2023 07:44:59;0,048;;;
01.11.2023 07:45:00;01.11.2023 07:59:59;0,08;;;
01.11.2023 08:00:00;01.11.2023 08:14:59;0,036;;;
01.11.2023 08:15:00;01.11.2023 08:29:59;0,051;;;
01.11.2023 08:30:00;01.11.2023 08:44:59;0,028;;;
01.11.2023 08:45:00;01.11.2023 08:59:59;0,007;;;
01.11.2023 09:00:00;01.11.2023 09:14:59;0,004;;;
01.11.2023 09:15:00;01.11.2023 09:29:59;0,004;;;
01.11.2023 09:30:00;01.11.2023 09:44:59;0,004;;;
01.11.2023 09:45:00;01.11.2023 09:59:59;0,002;;;
01.11.2023 10:00:00;01.11.2023 10:14:59;0;;;
01.11.2023 10:15:00;01.11.2023 10:29:59;0;;;
01.11.2023 10:30:00;01.11.2023 10:44:59;0,002;;;
01.11.2023 10:45:00;01.11.2023 10:59:59;0,005;;;
01.11.2023 11:00:00;01.11.2023 11:14:59;0,001;;;
01.11.2023 11:15:00;01.11.2023 11:29:59;0;;;
