Adresse [Zählpunktnummer];;;Adresse [Zählpunktnummer];;
Zählpunktnummer;;;Zählpunktnummer;;
Strom - Wirkenergie (kWh);;;Strom - Wirkenergie (kWh);;
kWh;;;kWh;;
DATE_FROM;DATE_TO;VALUE;DATE_FROM;DATE_TO;VALUE
01.10.2023 00:00:00;01.10.2023 00:14:59;0,531;01.10.2023 00:00:00;01.10.2023 23:59:59;7,217
01.10.2023 00:15:00;01.10.2023 00:29:59;0,064;02.10.2023 00:00:00;02.10.2023 23:59:59;6,352
01.10.2023 00:30:00;01.10.2023 00:44:59;0,064;03.10.2023 00:00:00;03.10.2023 23:59:59;3,627
01.10.2023 00:45:00;01.10.2023 00:59:59;0,064;04.10.2023 00:00:00;04.10.2023 23:59:59;8,019
01.10.2023 01:00:00;01.10.2023 01:14:59;0,075;05.10.2023 00:00:00;05.10.2023 23:59:59;5,57
01.10.2023 01:15:00;01.10.2023 01:29:59;0,083;06.10.2023 00:00:00;06.10.2023 23:59:59;4,018
01.10.2023 01:30:00;01.10.2023 01:44:59;0,09;07.10.2023 00:00:00;07.10.2023 23:59:59;9,174
01.10.2023 01:45:00;01.10.2023 01:59:59;0,171;08.10.2023 00:00:00;08.10.2023 23:59:59;12,371
01.10.2023 02:00:00;01.10.2023 02:14:59;0,048;09.10.2023 00:00:00;09.10.2023 23:59:59;7,279
01.10.2023 02:15:00;01.10.2023 02:29:59;0,059;10.10.2023 00:00:00;10.10.2023 23:59:59;7,094
01.10.2023 02:30:00;01.10.2023 02:44:59;0,051;11.10.2023 00:00:00;11.10.2023 23:59:59;4,218
01.10.2023 02:45:00;01.10.2023 02:59:59;0,054;12.10.2023 00:00:00;12.10.2023 23:59:59;4,145
01.10.2023 03:00:00;01.10.2023 03:14:59;0,04;13.10.2023 00:00:00;13.10.2023 23:59:59;6,474
01.10.2023 03:15:00;01.10.2023 03:29:59;0,035;14.10.2023 00:00:00;14.10.2023 23:59:59;8,461
01.10.2023 03:30:00;01.10.2023 03:44:59;0,055;15.10.2023 00:00:00;15.10.2023 23:59:59;18,578
01.10.2023 03:45:00;01.10.2023 03:59:59;0,043;16.10.2023 00:00:00;16.10.2023 23:59:59;15,573
01.10.2023 04:00:00;01.10.2023 04:14:59;0,048;17.10.2023 00:00:00;17.10.2023 23:59:59;14,956
01.10.2023 04:15:00;01.10.2023 04:29:59;0,048;18.10.2023 00:00:00;18.10.2023 23:59:59;16,074
01.10.2023 04:30:00;01.10.2023 04:44:59;0,042;19.10.2023 00:00:00;19.10.2023 23:59:59;12,059
01.10.2023 04:45:00;01.10.2023 04:59:59;0,055;20.10.2023 00:00:00;20.10.2023 23:59:59;7,859
01.10.2023 05:00:00;01.10.2023 05:14:59;0,046;21.10.2023 00:00:00;21.10.2023 23:59:59;2,318
01.10.2023 05:15:00;01.10.2023 05:29:59;0,037;22.10.2023 00:00:00;22.10.2023 23:59:59;1,179
01.10.2023 05:30:00;01.10.2023 05:44:59;0,041;23.10.2023 00:00:00;23.10.2023 23:59:59;0,31
01.10.2023 05:45:00;01.10.2023 05:59:59;0,042;24.10.2023 00:00:00;24.10.2023 23:59:59;2,645
01.10.2023 06:00:00;01.10.2023 06:14:59;0,054;25.10.2023 00:00:00;25.10.2023 23:59:59;1,841
01.10.2023 06:15:00;01.10.2023 06:29:59;0,04;26.10.2023 00:00:00;26.10.2023 23:59:59;0,504
01.10.2023 06:30:00;01.10.2023 06:44:59;0,048;27.10.2023 00:00:00;27.10.2023 23:59:59;2,239
01.10.2023 06:45:00;01.10.2023 06:59:59;0,091;28.10.2023 00:00:00;28.10.2023 23:59:59;0,338
01.10.2023 07:00:00;01.10.2023 07:14:59;0,036;29.10.2023 00:00:00;29.10.2023 23:59:59;0,325
01.10.2023 07:15:00;01.10.2023 07:29:59;0,046;30.10.2023 00:00:00;30.10.2023 23:59:59;1,067
01.10.2023 07:30:00;01.10.2023 07:44:59;0,034;31.10.2023 00:00:00;31.10.2023 23:59:59;2,975
01.10.2023 07:45:00;01.10.2023 07:59:59;0,058;;;
01.10.2023 08:00:00;01.10.2023 08:14:59;0,067;;;
01.10.2023 08:15:00;01.10.2023 08:29:59;0,062;;;
01.10.2023 08:30:00;01.10.2023 08:44:59;0,065;;;
01.10.2023 08:45:00;01.10.2023 08:59:59;0,06;;;
01.10.2023 09:00:00;01.10.2023 09:14:59;0,054;;;
01.10.2023 09:15:00;01.10.2023 09:29:59;0,176;;;
01.10.2023 09:30:00;01.10.2023 09:44:59;0,008;;;
01.10.2023 09:45:00;01.10.2023 09:59:59;0,016;;;
01.10.2023 10:00:00;01.10.2023 10:14:59;0,007;;;
01.10.2023 10:15:00;01.10.2023 10:29:59;0,003;;;
01.10.2023 10:30:00;01.10.2023 10:44:59;0,016;;;
01.10.2023 10:45:00;01.10.2023 10:59:59;0,021;;;
01.10.2023 11:00:00;01.10.2023 11:14:59;0,002;;;
