Adresse [Zählpunktnummer];;;Adresse [Zählpunktnummer];;
Zählpunktnummer;;;Zählpunktnummer;;
Strom - Wirkenergie (kWh);;;Strom - Wirkenergie (kWh);;
kWh;;;kWh;;
DATE_FROM;DATE_TO;VALUE;DATE_FROM;DATE_TO;VALUE
13.04.2023 00:00:00;13.04.2023 00:14:59;0,097;01.04.2023 00:00:00;01.04.2023 23:59:59;2,406
13.04.2023 00:15:00;13.04.2023 00:29:59;0,101;02.04.2023 00:00:00;02.04.2023 23:59:59;7,503
13.04.2023 00:30:00;13.04.2023 00:44:59;0,105;03.04.2023 00:00:00;03.04.2023 23:59:59;15,983
13.04.2023 00:45:00;13.04.2023 00:59:59;0,119;04.04.2023 00:00:00;04.04.2023 23:59:59;20,068
13.04.2023 01:00:00;13.04.2023 01:14:59;0,105;05.04.2023 00:00:00;05.04.2023 23:59:59;16,561
13.04.2023 01:15:00;13.04.2023 01:29:59;0,099;06.04.2023 00:00:00;06.04.2023 23:59:59;9,696
13.04.2023 01:30:00;13.04.2023 01:44:59;0,107;07.04.2023 00:00:00;07.04.2023 23:59:59;2,053
13.04.2023 01:45:00;13.04.2023 01:59:59;0,108;08.04.2023 00:00:00;08.04.2023 23:59:59;2,141
13.04.2023 02:00:00;13.04.2023 02:14:59;0,108;09.04.2023 00:00:00;09.04.2023 23:59:59;2,099
13.04.2023 02:15:00;13.04.2023 02:29:59;0,103;10.04.2023 00:00:00;10.04.2023 23:59:59;8,711
13.04.2023 02:30:00;13.04.2023 02:44:59;0,112;11.04.2023 00:00:00;11.04.2023 23:59:59;23,491
13.04.2023 02:45:00;13.04.2023 02:59:59;0,104;12.04.2023 00:00:00;12.04.2023 23:59:59;11,134
13.04.2023 03:00:00;13.04.2023 03:14:59;0,114;13.04.2023 00:00:00;13.04.2023 23:59:59;15,877
13.04.2023 03:15:00;13.04.2023 03:29:59;0,122;14.04.2023 00:00:00;14.04.2023 23:59:59;12,935
13.04.2023 03:30:00;13.04.2023 03:44:59;0,137;15.04.2023 00:00:00;15.04.2023 23:59:59;14,818
13.04.2023 03:45:00;13.04.2023 03:59:59;0,123;16.04.2023 00:00:00;16.04.2023 23:59:59;15,826
13.04.2023 04:00:00;13.04.2023 04:14:59;0,116;17.04.2023 00:00:00;17.04.2023 23:59:59;13,593
13.04.2023 04:15:00;13.04.2023 04:29:59;0,12;18.04.2023 00:00:00;18.04.2023 23:59:59;9,265
13.04.2023 04:30:00;13.04.2023 04:44:59;0,139;19.04.2023 00:00:00;19.04.2023 23:59:59;10,535
13.04.2023 04:45:00;13.04.2023 04:59:59;0,13;20.04.2023 00:00:00;20.04.2023 23:59:59;11,047
13.04.2023 05:00:00;13.04.2023 05:14:59;0,116;21.04.2023 00:00:00;21.04.2023 23:59:59;7,626
13.04.2023 05:15:00;13.04.2023 05:29:59;0,124;22.04.2023 00:00:00;22.04.2023 23:59:59;9,024
13.04.2023 05:30:00;13.04.2023 05:44:59;0,132;23.04.2023 00:00:00;23.04.2023 23:59:59;12,692
13.04.2023 05:45:00;13.04.2023 05:59:59;0,127;24.04.2023 00:00:00;24.04.2023 23:59:59;15,723
13.04.2023 06:00:00;13.04.2023 06:14:59;0,122;25.04.2023 00:00:00;25.04.2023 23:59:59;16,388
13.04.2023 06:15:00;13.04.2023 06:29:59;0,127;26.04.2023 00:00:00;26.04.2023 23:59:59;13,252
13.04.2023 06:30:00;13.04.2023 06:44:59;0,277;27.04.2023 00:00:00;27.04.2023 23:59:59;10,077
13.04.2023 06:45:00;13.04.2023 06:59:59;0,184;28.04.2023 00:00:00;28.04.2023 23:59:59;12,765
13.04.2023 07:00:00;13.04.2023 07:14:59;0,162;29.04.2023 00:00:00;29.04.2023 23:59:59;7,68
13.04.2023 07:15:00;13.04.2023 07:29:59;0,263;30.04.2023 00:00:00;30.04.2023 23:59:59;11,934
13.04.2023 07:30:00;13.04.2023 07:44:59;0,177;01.05.2023 00:00:00;01.05.2023 23:59:59;12,737
13.04.2023 07:45:00;13.04.2023 07:59:59;0,138;02.05.2023 00:00:00;02.05.2023 23:59:59;10,846
13.04.2023 08:00:00;13.04.2023 08:14:59;0,156;03.05.2023 00:00:00;03.05.2023 23:59:59;8,088
13.04.2023 08:15:00;13.04.2023 08:29:59;0,168;04.05.2023 00:00:00;04.05.2023 23:59:59;8,339
13.04.2023 08:30:00;13.04.2023 08:44:59;0,16;05.05.2023 00:00:00;05.05.2023 23:59:59;5,694
13.04.2023 08:45:00;13.04.2023 08:59:59;0,172;06.05.2023 00:00:00;06.05.2023 23:59:59;7,915
13.04.2023 09:00:00;13.04.2023 09:14:59;0,142;07.05.2023 00:00:00;07.05.2023 23:59:59;4,674
13.04.2023 09:15:00;13.04.2023 09:29:59;0,102;08.05.2023 00:00:00;08.05.2023 23:59:59;6,865
