Datum;Zeit von;Zeit bis;AT00100000000000000010000XXXXXXXX (1111111111) - Einspeiser [kWh]
01.05.2024;00:00:00;00:15:00;0
01.05.2024;00:15:00;00:30:00;0
01.05.2024;00:30:00;00:45:00;0
01.05.2024;00:45:00;01:00:00;0
01.05.2024;01:00:00;01:15:00;0
01.05.2024;01:15:00;01:30:00;0
01.05.2024;01:30:00;01:45:00;0
01.05.2024;01:45:00;02:00:00;0
01.05.2024;02:00:00;02:15:00;0
01.05.2024;02:15:00;02:30:00;0
01.05.2024;02:30:00;02:45:00;0
01.05.2024;02:45:00;03:00:00;0
01.05.2024;03:00:00;03:15:00;0
01.05.2024;03:15:00;03:30:00;0
01.05.2024;03:30:00;03:45:00;0
01.05.2024;03:45:00;04:00:00;0
01.05.2024;04:00:00;04:15:00;0
01.05.2024;04:15:00;04:30:00;0
01.05.2024;04:30:00;04:45:00;0
01.05.2024;04:45:00;05:00:00;0
01.05.2024;05:00:00;05:15:00;0
01.05.2024;05:15:00;05:30:00;0
01.05.2024;05:30:00;05:45:00;0
01.05.2024;05:45:00;06:00:00;0
01.05.2024;06:00:00;06:15:00;0
01.05.2024;06:15:00;06:30:00;0
01.05.2024;06:30:00;06:45:00;0
01.05.2024;06:45:00;07:00:00;0,002
01.05.2024;07:00:00;07:15:00;0,002
01.05.2024;07:15:00;07:30:00;0
01.05.2024;07:30:00;07:45:00;0,046
01.05.2024;07:45:00;08:00:00;0,08
01.05.2024;08:00:00;08:15:00;0,188
01.05.2024;08:15:00;08:30:00;0,242
01.05.2024;08:30:00;08:45:00;0,333
01.05.2024;08:45:00;09:00:00;0,419
01.05.2024;09:00:00;09:15:00;0,273
01.05.2024;09:15:00;09:30:00;0,289
01.05.2024;09:30:00;09:45:00;0,285
01.05.2024;09:45:00;10:00:00;0,574
01.05.2024;10:00:00;10:15:00;0,459
01.05.2024;10:15:00;10:30:00;0,352
01.05.2024;10:30:00;10:45:00;0,505
01.05.2024;10:45:00;11:00:00;0,617
01.05.2024;11:00:00;11:15:00;0,991
01.05.2024;11:15:00;11:30:00;1,119
01.05.2024;11:30:00;11:45:00;0,469
01.05.2024;11:45:00;12:00:00;1,339
01.05.2024;12:00:00;12:15:00;1,277
01.05.2024;12:15:00;12:30:00;1,317
01.05.2024;12:30:00;12:45:00;1,346
01.05.2024;12:45:00;13:00:00;1,556
01.05.2024;13:00:00;13:15:00;1,389
01.05.2024;13:15:00;13:30:00;1,463
01.05.2024;13:30:00;13:45:00;0,951
01.05.2024;13:45:00;14:00:00;0,849
01.05.2024;14:00:00;14:15:00;0,919
01.05.2024;14:15:00;14:30:00;1,017
01.05.2024;14:30:00;14:45:00;0,727
01.05.2024;14:45:00;15:00:00;0,849
01.05.2024;15:00:00;15:15:00;1,13
01.05.2024;15:15:00;15:30:00;1,061
01.05.2024;15:30:00;15:45:00;1,1
01.05.2024;15:45:00;16:00:00;1,033
01.05.2024;16:00:00;16:15:00;0,971
01.05.2024;16:15:00;16:30:00;0,898
01.05.2024;16:30:00;16:45:00;0,957
01.05.2024;16:45:00;17:00:00;0,727
01.05.2024;17:00:00;17:15:00;0,725
01.05.2024;17:15:00;17:30:00;0,349
01.05.2024;17:30:00;17:45:00;0,562
01.05.2024;17:45:00;18:00:00;0,416
01.05.2024;18:00:00;18:15:00;0,28
01.05.2024;18:15:00;18:30:00;0,088
01.05.2024;18:30:00;18:45:00;0,063
01.05.2024;18:45:00;19:00:00;0,066
01.05.2024;19:00:00;19:15:00;0
01.05.2024;19:15:00;19:30:00;0
01.05.2024;19:30:00;19:45:00;0
01.05.2024;19:45:00;20:00:00;0
01.05.2024;20:00:00;20:15:00;0
01.05.2024;20:15:00;20:30:00;0
01.05.2024;20:30:00;20:45:00;0
01.05.2024;20:45:00;21:00:00;0
01.05.2024;21:00:00;21:15:00;0
01.05.2024;21:15:00;21:30:00;0
01.05.2024;21:30:00;21:45:00;0
01.05.2024;21:45:00;22:00:00;0
01.05.2024;22:00:00;22:15:00;0
01.05.2024;22:15:00;22:30:00;0
01.05.2024;22:30:00;22:45:00;0
01.05.2024;22:45:00;23:00:00;0
01.05.2024;23:00:00;23:15:00;0
01.05.2024;23:15:00;23:30:00;0
01.05.2024;23:30:00;23:45:00;0
01.05.2024;23:45:00;00:00:00;0
02.05.2024;00:00:00;00:15:00;0
02.05.2024;00:15:00;00:30:00;0
02.05.2024;00:30:00;00:45:00;0
02.05.2024;00:45:00;01:00:00;0
02.05.2024;01:00:00;01:15:00;0
02.05.2024;01:15:00;01:30:00;0
02.05.2024;01:30:00;01:45:00;0
02.05.2024;01:45:00;02:00:00;0
02.05.2024;02:00:00;02:15:00;0
02.05.2024;02:15:00;02:30:00;0
02.05.2024;02:30:00;02:45:00;0
02.05.2024;02:45:00;03:00:00;0
02.05.2024;03:00:00;03:15:00;0
02.05.2024;03:15:00;03:30:00;0
02.05.2024;03:30:00;03:45:00;0
02.05.2024;03:45:00;04:00:00;0
02.05.2024;04:00:00;04:15:00;0
02.05.2024;04:15:00;04:30:00;0
02.05.2024;04:30:00;04:45:00;0
02.05.2024;04:45:00;05:00:00;0
02.05.2024;05:00:00;05:15:00;0
02.05.2024;05:15:00;05:30:00;0
02.05.2024;05:30:00;05:45:00;0
02.05.2024;05:45:00;06:00:00;0
02.05.2024;06:00:00;06:15:00;0
02.05.2024;06:15:00;06:30:00;0,002
02.05.2024;06:30:00;06:45:00;0,015
02.05.2024;06:45:00;07:00:00;0,017
02.05.2024;07:00:00;07:15:00;0,001
02.05.2024;07:15:00;07:30:00;0,087
02.05.2024;07:30:00;07:45:00;0,077
02.05.2024;07:45:00;08:00:00;0,178
02.05.2024;08:00:00;08:15:00;0,216
02.05.2024;08:15:00;08:30:00;0,276
02.05.2024;08:30:00;08:45:00;0,237
02.05.2024;08:45:00;09:00:00;0,375
02.05.2024;09:00:00;09:15:00;0,25
02.05.2024;09:15:00;09:30:00;0,347
02.05.2024;09:30:00;09:45:00;0,302
02.05.2024;09:45:00;10:00:00;0,437
02.05.2024;10:00:00;10:15:00;0,565
02.05.2024;10:15:00;10:30:00;0,806
02.05.2024;10:30:00;10:45:00;0,497
02.05.2024;10:45:00;11:00:00;0,801
02.05.2024;11:00:00;11:15:00;0,9
02.05.2024;11:15:00;11:30:00;1,011
02.05.2024;11:30:00;11:45:00;1,227
02.05.2024;11:45:00;12:00:00;1,039
02.05.2024;12:00:00;12:15:00;1,128
02.05.2024;12:15:00;12:30:00;1,242
02.05.2024;12:30:00;12:45:00;1,042
02.05.2024;12:45:00;13:00:00;0,763
02.05.2024;13:00:00;13:15:00;0,948
02.05.2024;13:15:00;13:30:00;0,211
02.05.2024;13:30:00;13:45:00;0,686
02.05.2024;13:45:00;14:00:00;0,461
02.05.2024;14:00:00;14:15:00;0,286
02.05.2024;14:15:00;14:30:00;0,002
02.05.2024;14:30:00;14:45:00;0,283
02.05.2024;14:45:00;15:00:00;0,29
02.05.2024;15:00:00;15:15:00;0,372
02.05.2024;15:15:00;15:30:00;0,396
02.05.2024;15:30:00;15:45:00;0,062
02.05.2024;15:45:00;16:00:00;0,761
02.05.2024;16:00:00;16:15:00;0,915
02.05.2024;16:15:00;16:30:00;0,81
02.05.2024;16:30:00;16:45:00;1,179
02.05.2024;16:45:00;17:00:00;1,04
02.05.2024;17:00:00;17:15:00;0,945
02.05.2024;17:15:00;17:30:00;0,831
02.05.2024;17:30:00;17:45:00;0,455
02.05.2024;17:45:00;18:00:00;0,548
02.05.2024;18:00:00;18:15:00;0,281
02.05.2024;18:15:00;18:30:00;0,209
02.05.2024;18:30:00;18:45:00;0,119
02.05.2024;18:45:00;19:00:00;0,096
02.05.2024;19:00:00;19:15:00;0,027
02.05.2024;19:15:00;19:30:00;0
02.05.2024;19:30:00;19:45:00;0
02.05.2024;19:45:00;20:00:00;0
02.05.2024;20:00:00;20:15:00;0
02.05.2024;20:15:00;20:30:00;0
02.05.2024;20:30:00;20:45:00;0
02.05.2024;20:45:00;21:00:00;0
02.05.2024;21:00:00;21:15:00;0
02.05.2024;21:15:00;21:30:00;0
02.05.2024;21:30:00;21:45:00;0
02.05.2024;21:45:00;22:00:00;0
02.05.2024;22:00:00;22:15:00;0
02.05.2024;22:15:00;22:30:00;0
02.05.2024;22:30:00;22:45:00;0
02.05.2024;22:45:00;23:00:00;0
02.05.2024;23:00:00;23:15:00;0
02.05.2024;23:15:00;23:30:00;0
02.05.2024;23:30:00;23:45:00;0
02.05.2024;23:45:00;00:00:00;0
03.05.2024;00:00:00;00:15:00;0
03.05.2024;00:15:00;00:30:00;0
03.05.2024;00:30:00;00:45:00;0
03.05.2024;00:45:00;01:00:00;0
03.05.2024;01:00:00;01:15:00;0
03.05.2024;01:15:00;01:30:00;0
03.05.2024;01:30:00;01:45:00;0
03.05.2024;01:45:00;02:00:00;0
03.05.2024;02:00:00;02:15:00;0
03.05.2024;02:15:00;02:30:00;0
03.05.2024;02:30:00;02:45:00;0
03.05.2024;02:45:00;03:00:00;0
03.05.2024;03:00:00;03:15:00;0
03.05.2024;03:15:00;03:30:00;0
03.05.2024;03:30:00;03:45:00;0
03.05.2024;03:45:00;04:00:00;0
03.05.2024;04:00:00;04:15:00;0
03.05.2024;04:15:00;04:30:00;0
03.05.2024;04:30:00;04:45:00;0
03.05.2024;04:45:00;05:00:00;0
03.05.2024;05:00:00;05:15:00;0
03.05.2024;05:15:00;05:30:00;0
03.05.2024;05:30:00;05:45:00;0
03.05.2024;05:45:00;06:00:00;0
03.05.2024;06:00:00;06:15:00;0
03.05.2024;06:15:00;06:30:00;0
03.05.2024;06:30:00;06:45:00;0
03.05.2024;06:45:00;07:00:00;0
03.05.2024;07:00:00;07:15:00;0
03.05.2024;07:15:00;07:30:00;0
03.05.2024;07:30:00;07:45:00;0
03.05.2024;07:45:00;08:00:00;0
03.05.2024;08:00:00;08:15:00;0
03.05.2024;08:15:00;08:30:00;0
03.05.2024;08:30:00;08:45:00;0,038
03.05.2024;08:45:00;09:00:00;0,157
03.05.2024;09:00:00;09:15:00;0,132
03.05.2024;09:15:00;09:30:00;0,048
03.05.2024;09:30:00;09:45:00;0,005
03.05.2024;09:45:00;10:00:00;0,036
03.05.2024;10:00:00;10:15:00;0,093
03.05.2024;10:15:00;10:30:00;0,192
03.05.2024;10:30:00;10:45:00;0,178
03.05.2024;10:45:00;11:00:00;0,022
03.05.2024;11:00:00;11:15:00;0
03.05.2024;11:15:00;11:30:00;0
03.05.2024;11:30:00;11:45:00;0
03.05.2024;11:45:00;12:00:00;0,218
03.05.2024;12:00:00;12:15:00;0,331
03.05.2024;12:15:00;12:30:00;0,303
03.05.2024;12:30:00;12:45:00;0,205
03.05.2024;12:45:00;13:00:00;0,201
03.05.2024;13:00:00;13:15:00;0,176
03.05.2024;13:15:00;13:30:00;0,286
03.05.2024;13:30:00;13:45:00;0,318
03.05.2024;13:45:00;14:00:00;0,285
03.05.2024;14:00:00;14:15:00;0,148
03.05.2024;14:15:00;14:30:00;0,351
03.05.2024;14:30:00;14:45:00;0,373
03.05.2024;14:45:00;15:00:00;0,504
03.05.2024;15:00:00;15:15:00;0,542
03.05.2024;15:15:00;15:30:00;0,447
03.05.2024;15:30:00;15:45:00;0,533
03.05.2024;15:45:00;16:00:00;1,074
03.05.2024;16:00:00;16:15:00;0,829
03.05.2024;16:15:00;16:30:00;0,458
03.05.2024;16:30:00;16:45:00;0,414
03.05.2024;16:45:00;17:00:00;0,069
03.05.2024;17:00:00;17:15:00;0,126
03.05.2024;17:15:00;17:30:00;0,161
03.05.2024;17:30:00;17:45:00;0,136
03.05.2024;17:45:00;18:00:00;0,136
03.05.2024;18:00:00;18:15:00;0,133
03.05.2024;18:15:00;18:30:00;0,059
03.05.2024;18:30:00;18:45:00;0,041
03.05.2024;18:45:00;19:00:00;0,004
03.05.2024;19:00:00;19:15:00;0
03.05.2024;19:15:00;19:30:00;0
03.05.2024;19:30:00;19:45:00;0
03.05.2024;19:45:00;20:00:00;0
03.05.2024;20:00:00;20:15:00;0
03.05.2024;20:15:00;20:30:00;0
03.05.2024;20:30:00;20:45:00;0
03.05.2024;20:45:00;21:00:00;0
03.05.2024;21:00:00;21:15:00;0
03.05.2024;21:15:00;21:30:00;0
03.05.2024;21:30:00;21:45:00;0
03.05.2024;21:45:00;22:00:00;0
03.05.2024;22:00:00;22:15:00;0
03.05.2024;22:15:00;22:30:00;0
03.05.2024;22:30:00;22:45:00;0
03.05.2024;22:45:00;23:00:00;0
03.05.2024;23:00:00;23:15:00;0
03.05.2024;23:15:00;23:30:00;0
03.05.2024;23:30:00;23:45:00;0
03.05.2024;23:45:00;00:00:00;0
04.05.2024;00:00:00;00:15:00;0
04.05.2024;00:15:00;00:30:00;0
04.05.2024;00:30:00;00:45:00;0
04.05.2024;00:45:00;01:00:00;0
04.05.2024;01:00:00;01:15:00;0
04.05.2024;01:15:00;01:30:00;0
04.05.2024;01:30:00;01:45:00;0
04.05.2024;01:45:00;02:00:00;0
04.05.2024;02:00:00;02:15:00;0
04.05.2024;02:15:00;02:30:00;0
04.05.2024;02:30:00;02:45:00;0
04.05.2024;02:45:00;03:00:00;0
04.05.2024;03:00:00;03:15:00;0
04.05.2024;03:15:00;03:30:00;0
04.05.2024;03:30:00;03:45:00;0
04.05.2024;03:45:00;04:00:00;0
04.05.2024;04:00:00;04:15:00;0
04.05.2024;04:15:00;04:30:00;0
04.05.2024;04:30:00;04:45:00;0
04.05.2024;04:45:00;05:00:00;0
04.05.2024;05:00:00;05:15:00;0
04.05.2024;05:15:00;05:30:00;0
04.05.2024;05:30:00;05:45:00;0
04.05.2024;05:45:00;06:00:00;0
04.05.2024;06:00:00;06:15:00;0
04.05.2024;06:15:00;06:30:00;0,006
04.05.2024;06:30:00;06:45:00;0,016
04.05.2024;06:45:00;07:00:00;0,009
04.05.2024;07:00:00;07:15:00;0,105
04.05.2024;07:15:00;07:30:00;0,108
04.05.2024;07:30:00;07:45:00;0,006
04.05.2024;07:45:00;08:00:00;0,066
04.05.2024;08:00:00;08:15:00;0,227
04.05.2024;08:15:00;08:30:00;0,028
04.05.2024;08:30:00;08:45:00;0
04.05.2024;08:45:00;09:00:00;0,235
04.05.2024;09:00:00;09:15:00;0,053
04.05.2024;09:15:00;09:30:00;0,068
04.05.2024;09:30:00;09:45:00;0,291
04.05.2024;09:45:00;10:00:00;0,496
04.05.2024;10:00:00;10:15:00;0,391
04.05.2024;10:15:00;10:30:00;0,712
04.05.2024;10:30:00;10:45:00;0,72
04.05.2024;10:45:00;11:00:00;1,071
04.05.2024;11:00:00;11:15:00;0,954
04.05.2024;11:15:00;11:30:00;0,893
04.05.2024;11:30:00;11:45:00;0,993
04.05.2024;11:45:00;12:00:00;0,967
04.05.2024;12:00:00;12:15:00;1,224
04.05.2024;12:15:00;12:30:00;1,146
04.05.2024;12:30:00;12:45:00;1,196
04.05.2024;12:45:00;13:00:00;1,26
04.05.2024;13:00:00;13:15:00;1,268
04.05.2024;13:15:00;13:30:00;1,473
04.05.2024;13:30:00;13:45:00;1,309
04.05.2024;13:45:00;14:00:00;1,439
04.05.2024;14:00:00;14:15:00;1,429
04.05.2024;14:15:00;14:30:00;1,328
04.05.2024;14:30:00;14:45:00;1,357
04.05.2024;14:45:00;15:00:00;1,219
04.05.2024;15:00:00;15:15:00;1,215
04.05.2024;15:15:00;15:30:00;1,102
04.05.2024;15:30:00;15:45:00;0,925
04.05.2024;15:45:00;16:00:00;0,609
04.05.2024;16:00:00;16:15:00;0,98
04.05.2024;16:15:00;16:30:00;0,965
04.05.2024;16:30:00;16:45:00;1,22
04.05.2024;16:45:00;17:00:00;1,1
04.05.2024;17:00:00;17:15:00;0,865
04.05.2024;17:15:00;17:30:00;0,838
04.05.2024;17:30:00;17:45:00;0,474
04.05.2024;17:45:00;18:00:00;0,474
04.05.2024;18:00:00;18:15:00;0,32
04.05.2024;18:15:00;18:30:00;0,232
04.05.2024;18:30:00;18:45:00;0,048
04.05.2024;18:45:00;19:00:00;0,024
04.05.2024;19:00:00;19:15:00;0,012
04.05.2024;19:15:00;19:30:00;0
04.05.2024;19:30:00;19:45:00;0
04.05.2024;19:45:00;20:00:00;0
04.05.2024;20:00:00;20:15:00;0
04.05.2024;20:15:00;20:30:00;0
04.05.2024;20:30:00;20:45:00;0
04.05.2024;20:45:00;21:00:00;0
04.05.2024;21:00:00;21:15:00;0
04.05.2024;21:15:00;21:30:00;0
04.05.2024;21:30:00;21:45:00;0
04.05.2024;21:45:00;22:00:00;0
04.05.2024;22:00:00;22:15:00;0
04.05.2024;22:15:00;22:30:00;0
04.05.2024;22:30:00;22:45:00;0
04.05.2024;22:45:00;23:00:00;0
04.05.2024;23:00:00;23:15:00;0
04.05.2024;23:15:00;23:30:00;0
04.05.2024;23:30:00;23:45:00;0
04.05.2024;23:45:00;00:00:00;0
05.05.2024;00:00:00;00:15:00;0
05.05.2024;00:15:00;00:30:00;0
05.05.2024;00:30:00;00:45:00;0
05.05.2024;00:45:00;01:00:00;0
05.05.2024;01:00:00;01:15:00;0
05.05.2024;01:15:00;01:30:00;0
05.05.2024;01:30:00;01:45:00;0
05.05.2024;01:45:00;02:00:00;0
05.05.2024;02:00:00;02:15:00;0
05.05.2024;02:15:00;02:30:00;0
05.05.2024;02:30:00;02:45:00;0
05.05.2024;02:45:00;03:00:00;0
05.05.2024;03:00:00;03:15:00;0
05.05.2024;03:15:00;03:30:00;0
05.05.2024;03:30:00;03:45:00;0
05.05.2024;03:45:00;04:00:00;0
05.05.2024;04:00:00;04:15:00;0
05.05.2024;04:15:00;04:30:00;0
05.05.2024;04:30:00;04:45:00;0
05.05.2024;04:45:00;05:00:00;0
05.05.2024;05:00:00;05:15:00;0
05.05.2024;05:15:00;05:30:00;0
05.05.2024;05:30:00;05:45:00;0
05.05.2024;05:45:00;06:00:00;0
05.05.2024;06:00:00;06:15:00;0
05.05.2024;06:15:00;06:30:00;0
05.05.2024;06:30:00;06:45:00;0
05.05.2024;06:45:00;07:00:00;0
05.05.2024;07:00:00;07:15:00;0
05.05.2024;07:15:00;07:30:00;0,009
05.05.2024;07:30:00;07:45:00;0,001
05.05.2024;07:45:00;08:00:00;0,036
05.05.2024;08:00:00;08:15:00;0,035
05.05.2024;08:15:00;08:30:00;0,178
05.05.2024;08:30:00;08:45:00;0,408
05.05.2024;08:45:00;09:00:00;0,546
05.05.2024;09:00:00;09:15:00;0,68
05.05.2024;09:15:00;09:30:00;0,791
05.05.2024;09:30:00;09:45:00;0,911
05.05.2024;09:45:00;10:00:00;1,008
05.05.2024;10:00:00;10:15:00;0,817
05.05.2024;10:15:00;10:30:00;0,934
05.05.2024;10:30:00;10:45:00;0,92
05.05.2024;10:45:00;11:00:00;1,122
05.05.2024;11:00:00;11:15:00;1,159
05.05.2024;11:15:00;11:30:00;1,303
05.05.2024;11:30:00;11:45:00;1,204
05.05.2024;11:45:00;12:00:00;1,228
05.05.2024;12:00:00;12:15:00;1,449
05.05.2024;12:15:00;12:30:00;1,44
05.05.2024;12:30:00;12:45:00;1,431
05.05.2024;12:45:00;13:00:00;1,032
05.05.2024;13:00:00;13:15:00;0,262
05.05.2024;13:15:00;13:30:00;1,465
